t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,DataflowConstProp;DeadStoreElimination-initial;DestinationPropagation;ForceInline;UnreachableEnumBranching,bitcode-version-upgrade;cgp-branch-opts;copyprop;early-ifcvt;icp;ifcvt-simple;interleaved-load-combine;licm-promotion;loop-idiom-vectorize-all;ondemand-mds-loading;postra-machine-licm;select-optimize;tail-calls;thinlto-funcattrs,1.0067075425956769,2.3966097958849146,0.9948064447024296,0.0
2,EarlyOtherwiseBranch;EnumSizeOpt;InstSimplify-after-simplifycfg;MatchBranchSimplification;ReferencePropagation,loop-level-heuristics;machine-sink;ondemand-mds-loading;preheader-prot;preinline;ssc,1.0467026004467577,1.5886572935842678,0.9964465687452536,0.0
3,EarlyOtherwiseBranch;EnumSizeOpt,adv-copy-opt;bitcode-version-upgrade;ifcvt-triangle;interleaved-load-combine;machine-cse;machine-dce;postra-machine-sink,0.9783071153210793,1.766970872767285,1.0000245774762602,0.0
4,CopyProp;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;MatchBranchSimplification,cgp-gc-opts;copyprop;loop-idiom-vectorize-all;non-allocatable-phys-copy-opt;partial-libcall-inlining;postra-machine-sink;preinline;select-optimize,1.060446128911497,2.1615150667582848,0.9971715496849726,0.0
5,CopyProp,2addr-hack;demotion;early-ifcvt;loop-idiom-vectorize-all;non-allocatable-phys-copy-opt;whole-program-visibility,1.0105448592785293,1.2011960043552794,0.9993750557985887,0.0
6,CopyProp;ScalarReplacementOfAggregates,cgp-gc-opts;cleanups;complex-addr-modes;early-ifcvt;ifcvt-diamond;ifcvt-triangle-false;layout-fsprofile-loader;machine-licm;machine-sink;postra-machine-licm;tail-calls,0.8707853496049216,1.122279364901715,0.9976933941995821,0.0
7,DeadStoreElimination-initial;GVN;Inline;SingleUseConsts,ifcvt-triangle;loop-level-heuristics;machine-cse;machine-licm;non-allocatable-phys-copy-opt,1.2830851942289239,1.6389722192785627,1.0016128739714805,0.0
8,DataflowConstProp;ForceInline;GVN;Inline;UnreachableEnumBranching,adv-copy-opt;cfi-fixup;cgp-ext-ld-promotion;cgp-gc-opts;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-dce;machine-sink;select-optimize;type-promotion,1.0591289566035322,1.9379042404301785,1.0011663030726787,0.0
9,EnumSizeOpt;ImpossiblePredicates;ReferencePropagation,complex-addr-modes;ifcvt-forked-diamond;ifcvt-triangle-rev;machine-sink;non-allocatable-phys-copy-opt;vector-combine,1.048527571753,1.5894149820815944,0.9972224150680827,0.0
10,CopyProp;Inline;InstSimplify-after-simplifycfg;InstSimplify-before-inline,bitcode-version-upgrade;cgp;complex-addr-modes;icp;ifcvt-triangle-false;loop-idiom-vectorize-all;machine-cse;partial-libcall-inlining;tail-calls,2.0411224616672614,2.1293828984643763,1.0036846693374122,0.0
11,UnreachablePropagation,advanced-peeling;block-placement;ifcvt-forked-diamond;ifcvt-simple-false;layout-fsprofile-loader;loop-idiom-vectorize-all;mergeicmps;post-ra;postra-machine-licm;whole-program-visibility,1.0004526331593258,1.1609920891952918,0.9938454795646495,0.0
12,ImpossiblePredicates;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates,binop-extract-shuffle;bitcode-version-upgrade;block-placement;cfi-fixup;cgp-select2branch;demotion;ifcvt-simple;lsr,0.9634455531143391,1.393846769512643,0.9919321237864733,0.0
13,ForceInline,chr;early-ifcvt;expand-reductions;ifcvt-forked-diamond;machine-dce;nofree-inference;nounwind-inference;postra-machine-sink,0.9676364697902297,1.4524675237892835,1.0003312339318184,0.0
14,ForceInline;Inline;InstSimplify-after-simplifycfg,2addr-hack;complex-addr-modes;ifcvt-simple-false;partial-inlining;postra-machine-licm;separate-const-offset-from-gep,0.9856711432368439,1.4298448250528317,1.002598127396088,0.0
15,,auto-upgrade-debug-info;cgp-delete-phis;chr;machine-dce,0.9850394880303442,1.2878967748657024,1.0004336347519993,0.0
16,DestinationPropagation;ReferencePropagation;SingleUseConsts,bitcode-version-upgrade;block-placement;cgp-gc-opts;complex-addr-modes;ifcvt-forked-diamond;ifcvt-triangle-rev;last-run-tracking;machine-licm;phi-elim-edge-splitting;post-ra;postra-machine-sink;separate-const-offset-from-gep;ssc,0.9758809923492786,1.31407172667541,0.9927419222078366,0.0
