rep,method,budget,hv_final,hv_ref,t95
0,ggps,1200,1.138,1.41,
0,ggps_hub_only,1200,1.071,1.41,
0,ggps_neighbor_only,1200,1.853,1.41,280
0,ggps_no_centrality,1200,1.159,1.41,
0,random,1200,1.302,1.41,
0,bo,1200,1.349,1.41,1180
0,ga,1200,1.805,1.41,200
0,ggps_random_subspace,1200,1.137,1.41,
0,ggps_nonhub_subspace,1200,1.159,1.41,
1,ggps,1200,1.151,1.41,
1,ggps_hub_only,1200,1.071,1.41,
1,ggps_neighbor_only,1200,1.875,1.41,340
1,ggps_no_centrality,1200,1.157,1.41,
1,random,1200,1.381,1.41,840
1,bo,1200,1.282,1.41,
1,ga,1200,1.9,1.41,220
1,ggps_random_subspace,1200,1.237,1.41,
1,ggps_nonhub_subspace,1200,1.165,1.41,
2,ggps,1200,1.184,1.41,
2,ggps_hub_only,1200,1.071,1.41,
2,ggps_neighbor_only,1200,1.808,1.41,360
2,ggps_no_centrality,1200,1.177,1.41,
2,random,1200,1.293,1.41,
2,bo,1200,1.311,1.41,
2,ga,1200,2.039,1.41,260
2,ggps_random_subspace,1200,1.114,1.41,
2,ggps_nonhub_subspace,1200,1.182,1.41,
3,ggps,1200,1.221,1.41,
3,ggps_hub_only,1200,1.071,1.41,
3,ggps_neighbor_only,1200,1.859,1.41,220
3,ggps_no_centrality,1200,1.155,1.41,
3,random,1200,1.34,1.41,1140
3,bo,1200,1.322,1.41,
3,ga,1200,1.778,1.41,380
3,ggps_random_subspace,1200,1.2,1.41,
3,ggps_nonhub_subspace,1200,1.158,1.41,
4,ggps,1200,1.161,1.41,
4,ggps_hub_only,1200,1.071,1.41,
4,ggps_neighbor_only,1200,1.97,1.41,320
4,ggps_no_centrality,1200,1.14,1.41,
4,random,1200,1.327,1.41,
4,bo,1200,1.308,1.41,
4,ga,1200,1.884,1.41,300
4,ggps_random_subspace,1200,1.157,1.41,
4,ggps_nonhub_subspace,1200,1.185,1.41,
5,ggps,1200,1.13,1.41,
5,ggps_hub_only,1200,1.071,1.41,
5,ggps_neighbor_only,1200,1.896,1.41,220
5,ggps_no_centrality,1200,1.125,1.41,
5,random,1200,1.35,1.41,880
5,bo,1200,1.287,1.41,
5,ga,1200,1.699,1.41,360
5,ggps_random_subspace,1200,1.135,1.41,
5,ggps_nonhub_subspace,1200,1.197,1.41,
6,ggps,1200,1.18,1.41,
6,ggps_hub_only,1200,1.071,1.41,
6,ggps_neighbor_only,1200,2.002,1.41,280
6,ggps_no_centrality,1200,1.172,1.41,
6,random,1200,1.291,1.41,
6,bo,1200,1.289,1.41,
6,ga,1200,1.715,1.41,420
6,ggps_random_subspace,1200,1.179,1.41,
6,ggps_nonhub_subspace,1200,1.204,1.41,
7,ggps,1200,1.158,1.41,
7,ggps_hub_only,1200,1.071,1.41,
7,ggps_neighbor_only,1200,1.873,1.41,340
7,ggps_no_centrality,1200,1.118,1.41,
7,random,1200,1.33,1.41,
7,bo,1200,1.269,1.41,
7,ga,1200,1.727,1.41,420
7,ggps_random_subspace,1200,1.114,1.41,
7,ggps_nonhub_subspace,1200,1.171,1.41,
8,ggps,1200,1.179,1.41,
8,ggps_hub_only,1200,1.071,1.41,
8,ggps_neighbor_only,1200,1.709,1.41,380
8,ggps_no_centrality,1200,1.209,1.41,
8,random,1200,1.344,1.41,980
8,bo,1200,1.367,1.41,1200
8,ga,1200,1.911,1.41,260
8,ggps_random_subspace,1200,1.152,1.41,
8,ggps_nonhub_subspace,1200,1.125,1.41,
9,ggps,1200,1.144,1.41,
9,ggps_hub_only,1200,1.071,1.41,
9,ggps_neighbor_only,1200,1.842,1.41,260
9,ggps_no_centrality,1200,1.207,1.41,
9,random,1200,1.341,1.41,1000
9,bo,1200,1.227,1.41,
9,ga,1200,1.822,1.41,340
9,ggps_random_subspace,1200,1.142,1.41,
9,ggps_nonhub_subspace,1200,1.146,1.41,
