disabled_mir_count,disabled_llvm_count,disabled_mir,disabled_llvm,runtime,compile_time,size,log_runtime,log_compile_time,log_size
4,5,CopyProp;InstSimplify-before-inline;MatchBranchSimplification;ScalarReplacementOfAggregates,advanced-peeling;cgdata-for-merging;cgp-gc-opts;mr-partial-inlining;preheader-prot,14.514270415293504,20.03047217712995,625537.8683132494,2.6751323320240887,2.9972547228961295,13.346367147925083
2,4,EnumSizeOpt;UnreachablePropagation,complex-addr-modes;interleaved-load-combine;lftr;partial-inlining,16.79920970052806,18.044844545156252,625809.1016654219,2.8213318436674863,2.8928600232145434,13.346800654159448
0,0,,,16.827333333333332,14.653677666666667,627256.0000000001,2.8230045484313573,2.684691339226345,13.349110029746889
7,5,DestinationPropagation;GVN;Inline;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,block-placement;dfa-sched;early-ifcvt;early-taildup;loop-idiom-vectorize-bytecmp,16.84954227121754,30.666715373818047,625150.4096590843,2.824323491516492,3.4231778766563448,13.345747555220195
6,6,ForceInline;InstSimplify-before-inline;ReferencePropagation;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,auto-upgrade-debug-info;expand-reductions;nounwind-inference;post-ra;replace-with-vec-lib;type-promotion,17.530684678224052,26.656338426710537,624931.2864601589,2.8639527556846254,3.2830269619839147,13.345396981010765
7,4,DataflowConstProp;EarlyOtherwiseBranch;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates,copyprop;post-ra;postra-machine-licm;spill-fusing,17.857197674279785,39.34372433641794,624931.1978388792,2.882406658001944,3.672336478953204,13.345396839201117
4,6,ImpossiblePredicates;JumpThreading;ReferencePropagation;SingleUseConsts,cgp-select2branch;early-taildup;expand-reductions;layout-fsprofile-loader;lsr;non-allocatable-phys-copy-opt,19.507689815023824,22.71208884431414,625433.120774933,2.9708087373227787,3.1228973309415564,13.346199681949493
5,10,DestinationPropagation;EnumSizeOpt;Inline;InstSimplify-after-simplifycfg;ReferencePropagation,block-placement;cgp-delete-phis;cleanups;gep-const-evaluation;global-outlining;ifcvt-forked-diamond;ifcvt-simple;ra-fsprofile-loader;vector-combine;whole-program-visibility,21.097801647171945,23.707457285275854,624640.4047172992,3.0491688477163206,3.165789652035257,13.344931410687481
8,5,DestinationPropagation;EarlyOtherwiseBranch;GVN;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;UnreachableEnumBranching;UnreachablePropagation,advanced-peeling;early-ifcvt;early-taildup;loop-idiom-vectorize-bytecmp;strictnode-mutation,21.479742754899156,32.282295872822175,624094.9554219377,3.0671102935400474,3.474518964565954,13.344057807925099
6,11,DeadStoreElimination-initial;ImpossiblePredicates;InstSimplify-after-simplifycfg;MatchBranchSimplification;ReferencePropagation;SingleUseConsts,adv-copy-opt;cgp-ext-ld-promotion;expand-reductions;licm-promotion;machine-cse;machine-sink;partial-inlining;postra-machine-licm;promote-alloca-to-vector;select-optimize;spill-fusing,22.729969198485218,32.081912727418946,624013.6320941863,3.1236842827594957,3.4682924048935537,13.343927493417723
8,10,GVN;ImpossiblePredicates;Inline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;SingleUseConsts;UnreachablePropagation,2addr-hack;cfi-fixup;interleaved-load-combine;last-run-tracking;licm-promotion;loop-idiom-vectorize-bytecmp;lsr;machine-licm;ondemand-mds-loading;spill-fusing,27.990771548692816,29.254828465318692,624271.4822087117,3.3318748683026063,3.3760446357917564,13.344340620379246
