mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
InstSimplify-after-simplifycfg,cgp,12.67539842917937,12.237407700209014,11.903225184806129,12.973547306670206,-0.1212685922860772,0.8857960096633147,-11.420399033668527,-3.455439538390226,-6.091905108052975,2.3521854492911443,-0.1425209935543971,-0.0997137926482322,0.000999500249875,30,10,10,10,0.1212685922860772,1,extreme,0.0010241792683904,True,False,negative_interaction
GVN,machine-licm,12.67539842917937,12.989395446185329,11.51297208404033,13.295777081079034,-0.1195017587322522,0.8873624471847229,-11.26375528152771,2.477216150327255,-9.170728254688088,4.894352279069358,-0.141394723394427,-0.0979142653855419,0.000999500249875,30,10,10,10,0.1195017587322522,2,extreme,0.0010241792683904,True,False,negative_interaction
ForceInline,interleaved-load-combine,12.67539842917937,11.670232408797704,11.687126595709644,12.066573376304143,-0.1145727758877339,0.8917470383742229,-10.825296162577713,-7.930054632978845,-7.796771351933818,-4.803202489269943,-0.1892735923305857,-0.0639836015345473,0.000999500249875,30,10,10,10,0.1145727758877339,3,extreme,0.0010241792683904,True,False,negative_interaction
InstSimplify-before-inline,cgp-branch-opts,12.67539842917937,11.646653958400824,11.669559938090645,11.98481167718749,-0.1113004761357379,0.8946698815881634,-10.53301184118366,-8.116072062952506,-7.935359955023113,-5.448244927765877,-0.1744421919129956,-0.0696929707859757,0.000999500249875,30,10,10,10,0.1113004761357379,4,extreme,0.0010241792683904,True,False,negative_interaction
GVN,cgp,12.67539842917937,12.989395446185329,11.903225184806129,13.618634237809973,-0.1101593257155792,0.895691417251511,-10.430858274848898,2.477216150327255,-6.091905108052975,7.441468715170529,-0.1311631275079078,-0.0885518064975899,0.000999500249875,30,10,10,10,0.1101593257155792,5,extreme,0.0010241792683904,True,False,negative_interaction
GVN,peephole,12.67539842917937,12.989395446185329,11.601627582273728,13.259289418881336,-0.1090826914935307,0.8966562685865024,-10.33437314134976,2.477216150327255,-8.471298578147834,4.606490225647009,-0.1308486543272073,-0.0881968425596929,0.000999500249875,30,10,10,10,0.1090826914935307,6,extreme,0.0010241792683904,True,False,negative_interaction
UnreachablePropagation,ondemand-mds-loading,12.67539842917937,11.659259791782238,11.677899263685548,11.971080727409564,-0.1083579851902514,0.8973063165547016,-10.26936834452984,-8.01662088236953,-7.869568527309823,-5.556572487287137,-0.1543118639501349,-0.0725880613438475,0.000999500249875,30,10,10,10,0.1083579851902514,7,extreme,0.0010241792683904,True,False,negative_interaction
InstSimplify-after-simplifycfg,block-placement,12.67539842917937,12.237407700209014,11.760559482552226,12.645393760992391,-0.107707020693573,0.8978906212696027,-10.210937873039729,-3.455439538390226,-7.217437398426396,-0.2367157794259777,-0.1679714870487627,-0.0648476932754965,0.000999500249875,30,10,10,10,0.107707020693573,8,extreme,0.0010241792683904,True,False,negative_interaction
GVN,branch-fold,12.67539842917937,12.989395446185329,11.549800005008516,13.17380512191481,-0.1070919698246197,0.8984430395416944,-10.155696045830563,2.477216150327255,-8.880181798306818,3.932079102050823,-0.1283954553433216,-0.0839942670925746,0.000999500249875,30,10,10,10,0.1070919698246197,9,extreme,0.0010241792683904,True,False,negative_interaction
UnreachablePropagation,tail-calls,12.67539842917937,11.659259791782238,11.67833389456534,11.953286696725222,-0.1068332437578463,0.8986755202486476,-10.13244797513524,-8.01662088236953,-7.866139594624022,-5.696954904327223,-0.1628697098580166,-0.0637719661577132,0.000999500249875,30,10,10,10,0.1068332437578463,10,extreme,0.0010241792683904,True,False,negative_interaction
