mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
InstSimplify-after-simplifycfg,cgp,12.67539842917937,12.237407700209014,11.903225184806127,12.973547306670206,-0.12126859228607723,0.8857960096633147,-11.420399033668527,-3.455439538390226,-6.091905108052975,2.3521854492911443,-0.14252099355439718,-0.09971379264823221,0.0009995002498750624,30,10,10,10,0.12126859228607723,1,extreme,0.001024179268390496,True,False,negative_interaction
GVN,machine-licm,12.67539842917937,12.989395446185329,11.51297208404033,13.295777081079034,-0.11950175873225222,0.8873624471847229,-11.26375528152771,2.477216150327255,-9.170728254688088,4.894352279069358,-0.14139472339442707,-0.0979142653855419,0.0009995002498750624,30,10,10,10,0.11950175873225222,2,extreme,0.001024179268390496,True,False,negative_interaction
ForceInline,interleaved-load-combine,12.67539842917937,11.670232408797704,11.687126595709644,12.066573376304145,-0.11457277588773396,0.8917470383742229,-10.825296162577713,-7.930054632978845,-7.796771351933818,-4.8032024892699425,-0.18927359233058572,-0.06398360153454732,0.0009995002498750624,30,10,10,10,0.11457277588773396,3,extreme,0.001024179268390496,True,False,negative_interaction
InstSimplify-before-inline,cgp-branch-opts,12.67539842917937,11.646653958400824,11.669559938090643,11.98481167718749,-0.1113004761357379,0.8946698815881634,-10.53301184118366,-8.116072062952506,-7.935359955023113,-5.448244927765877,-0.17444219191299568,-0.06969297078597572,0.0009995002498750624,30,10,10,10,0.1113004761357379,4,extreme,0.001024179268390496,True,False,negative_interaction
GVN,cgp,12.67539842917937,12.989395446185329,11.903225184806127,13.618634237809971,-0.11015932571557929,0.895691417251511,-10.430858274848898,2.477216150327255,-6.091905108052975,7.441468715170529,-0.13116312750790785,-0.08855180649758998,0.0009995002498750624,30,10,10,10,0.11015932571557929,5,extreme,0.001024179268390496,True,False,negative_interaction
GVN,peephole,12.67539842917937,12.989395446185329,11.601627582273727,13.259289418881336,-0.10908269149353078,0.8966562685865024,-10.334373141349761,2.477216150327255,-8.471298578147834,4.606490225647009,-0.13084865432720733,-0.0881968425596929,0.0009995002498750624,30,10,10,10,0.10908269149353078,6,extreme,0.001024179268390496,True,False,negative_interaction
UnreachablePropagation,ondemand-mds-loading,12.67539842917937,11.659259791782238,11.677899263685548,11.971080727409564,-0.10835798519025142,0.8973063165547016,-10.26936834452984,-8.01662088236953,-7.869568527309823,-5.556572487287137,-0.15431186395013496,-0.07258806134384754,0.0009995002498750624,30,10,10,10,0.10835798519025142,7,extreme,0.001024179268390496,True,False,negative_interaction
InstSimplify-after-simplifycfg,block-placement,12.67539842917937,12.237407700209014,11.760559482552226,12.645393760992391,-0.10770702069357307,0.8978906212696027,-10.210937873039727,-3.455439538390226,-7.217437398426396,-0.23671577942597777,-0.16797148704876277,-0.06484769327549653,0.0009995002498750624,30,10,10,10,0.10770702069357307,8,extreme,0.001024179268390496,True,False,negative_interaction
GVN,branch-fold,12.67539842917937,12.989395446185329,11.549800005008516,13.17380512191481,-0.10709196982461977,0.8984430395416944,-10.155696045830565,2.477216150327255,-8.880181798306818,3.932079102050823,-0.12839545534332167,-0.0839942670925746,0.0009995002498750624,30,10,10,10,0.10709196982461977,9,extreme,0.001024179268390496,True,False,negative_interaction
UnreachablePropagation,tail-calls,12.67539842917937,11.659259791782238,11.678333894565341,11.953286696725222,-0.10683324375784631,0.8986755202486476,-10.13244797513524,-8.01662088236953,-7.866139594624022,-5.696954904327223,-0.16286970985801663,-0.06377196615771326,0.0009995002498750624,30,10,10,10,0.10683324375784631,10,extreme,0.001024179268390496,True,False,negative_interaction
