config_id,config_name,mir_disabled_count,llvm_disabled_count,mir_disabled_list,llvm_disabled_list
0,RANDOM_CONFIG_0000,6,19,DataflowConstProp;EarlyOtherwiseBranch;ReferencePropagation;ScalarReplacementOfAggregates;SingleUseConsts;UnreachablePropagation,2addr-hack;branch-fold;cgp;cgp-gc-opts;cgp-store-extract;chr;early-taildup;gep-const-evaluation;ifcvt-forked-diamond;loop-idiom-vectorize-all;loop-level-heuristics;lsr;machine-dce;nofree-inference;ondemand-mds-loading;postra-machine-sink;preheader-prot;select-optimize;spill-fusing
1,RANDOM_CONFIG_0001,4,25,CopyProp;ForceInline;Inline;InstSimplify-after-simplifycfg,branch-fold;cfi-fixup;cgp-branch-opts;cgp-ext-ld-promotion;complex-addr-modes;demotion;expand-reductions;gep-const-evaluation;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple-false;lftr;loop-level-heuristics;machine-cse;machine-licm;mr-partial-inlining;post-ra;preheader-prot;preinline;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;separate-const-offset-from-gep;spill-fusing;tail-calls
2,RANDOM_CONFIG_0002,9,20,DataflowConstProp;DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;UnreachableEnumBranching;UnreachablePropagation,block-placement;cgp-delete-phis;cgp-select2branch;chr;cleanups;constant-hoisting;early-taildup;global-outlining;i2p-p2i-opt;icp;interleaved-load-combine;last-run-tracking;machine-licm;memop-opt;mergeicmps;partial-inlining;preheader-prot;promote-alloca-to-vector;spill-fusing;tail-duplicate
3,RANDOM_CONFIG_0003,5,29,Inline;InstSimplify-after-simplifycfg;ReferencePropagation;SingleUseConsts;UnreachableEnumBranching,cgp-branch-opts;cgp-delete-phis;cgp-ext-ld-promotion;cgp-select2branch;cgp-store-extract;cleanups;complex-addr-modes;constant-hoisting;copyprop;dfa-sched;gep-const-evaluation;global-outlining;i2p-p2i-opt;ifcvt-simple;ifcvt-triangle-false;layout-fsprofile-loader;lftr;machine-dce;mergeicmps;peephole;post-ra;postra-machine-sink;ra-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining;select-optimize;separate-const-offset-from-gep;strictnode-mutation;vp
4,RANDOM_CONFIG_0004,8,28,CopyProp;DeadStoreElimination-final;DestinationPropagation;EnumSizeOpt;JumpThreading;MatchBranchSimplification;UnreachableEnumBranching;UnreachablePropagation,adv-copy-opt;block-placement;branch-fold;cfi-fixup;cgp-branch-opts;demotion;dfa-sched;expand-reductions;ifcvt-forked-diamond;ifcvt-simple;interleaved-load-combine;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;lsr;machine-dce;mergeicmps;ondemand-mds-loading;partial-inlining;peephole;postra-machine-licm;postra-machine-sink;ra-fsprofile-loader;replace-with-vec-lib;separate-const-offset-from-gep;spill-fusing;tail-calls;type-promotion;whole-program-visibility
5,RANDOM_CONFIG_0005,3,25,DeadStoreElimination-initial;EnumSizeOpt;UnreachablePropagation,adv-copy-opt;bitcode-version-upgrade;chr;constant-hoisting;demotion;early-taildup;global-outlining;icp;ifcvt-forked-diamond;ifcvt-triangle-rev;interleaved-load-combine;layout-fsprofile-loader;loop-level-heuristics;lsr;machine-sink;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;postra-machine-licm;replace-with-vec-lib;sample-loader-inlining;select-optimize;separate-const-offset-from-gep;strictnode-mutation;tail-calls
6,RANDOM_CONFIG_0006,8,25,DataflowConstProp;DeadStoreElimination-final;EnumSizeOpt;ForceInline;InstSimplify-before-inline;ReferencePropagation;UnreachableEnumBranching;UnreachablePropagation,advanced-peeling;branch-fold;cfi-fixup;cgp-ext-ld-promotion;cgp-gc-opts;cleanups;demotion;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-triangle-rev;last-run-tracking;lftr;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;machine-cse;nofree-inference;partial-libcall-inlining;peephole;postra-machine-licm;preheader-prot;ra-fsprofile-loader;sample-loader-inlining;strictnode-mutation;type-promotion;vp
7,RANDOM_CONFIG_0007,9,26,DeadStoreElimination-final;DeadStoreElimination-initial;EnumSizeOpt;ForceInline;ImpossiblePredicates;InstSimplify-after-simplifycfg;JumpThreading;ReferencePropagation;SingleUseConsts,2addr-hack;binop-extract-shuffle;branch-fold;cfi-fixup;cgp-delete-phis;cgp-gc-opts;constant-hoisting;demotion;icp;ifcvt-forked-diamond;ifcvt-simple;ifcvt-triangle-false;layout-fsprofile-loader;licm-promotion;lsr;machine-licm;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;partial-libcall-inlining;phi-elim-edge-splitting;promote-alloca-to-vector;separate-const-offset-from-gep;tail-duplicate;thinlto-funcattrs;type-promotion
8,RANDOM_CONFIG_0008,3,27,InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading,binop-extract-shuffle;block-placement;branch-fold;cgp-branch-opts;cgp-gc-opts;cgp-select2branch;cgp-store-extract;early-ifcvt;gep-const-evaluation;ifcvt-triangle;interleaved-load-combine;last-run-tracking;layout-fsprofile-loader;loop-level-heuristics;machine-licm;machine-sink;memop-opt;mr-partial-inlining;nofree-inference;nounwind-inference;partial-inlining;phi-elim-edge-splitting;postra-machine-sink;preinline;promote-alloca-to-vector;thinlto-funcattrs;vp
9,RANDOM_CONFIG_0009,7,26,EarlyOtherwiseBranch;EnumSizeOpt;GVN;ImpossiblePredicates;InstSimplify-before-inline;MatchBranchSimplification;UnreachablePropagation,2addr-hack;adv-copy-opt;advanced-peeling;binop-extract-shuffle;cgdata-for-merging;cgp;cgp-select2branch;cgp-store-extract;chr;cleanups;copyprop;demotion;ifcvt-forked-diamond;lsr;machine-cse;machine-sink;mr-partial-inlining;nounwind-inference;ondemand-mds-loading;partial-libcall-inlining;phi-elim-edge-splitting;promote-alloca-to-vector;select-optimize;ssc;thinlto-funcattrs;type-promotion
10,RANDOM_CONFIG_0010,6,25,CopyProp;DataflowConstProp;DeadStoreElimination-final;DeadStoreElimination-initial;EarlyOtherwiseBranch;GVN,block-placement;cgdata-for-merging;cgp-delete-phis;cgp-store-extract;cleanups;complex-addr-modes;copyprop;demotion;dfa-sched;gep-const-evaluation;ifcvt-diamond;ifcvt-simple;last-run-tracking;licm-promotion;machine-cse;machine-sink;memop-opt;mergeicmps;partial-inlining;postra-machine-licm;preheader-prot;replace-with-vec-lib;tail-duplicate;thinlto-funcattrs;vector-combine
11,RANDOM_CONFIG_0011,7,17,DataflowConstProp;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;MatchBranchSimplification;SingleUseConsts;UnreachablePropagation,auto-upgrade-debug-info;cgp;cgp-ext-ld-promotion;cgp-gc-opts;cgp-store-extract;expand-reductions;global-outlining;ifcvt-diamond;licm-promotion;machine-licm;mergeicmps;post-ra;postra-machine-licm;preinline;replace-with-vec-lib;tail-duplicate;vp
12,RANDOM_CONFIG_0012,6,30,CopyProp;EarlyOtherwiseBranch;GVN;JumpThreading;UnreachableEnumBranching;UnreachablePropagation,cfi-fixup;cgdata-for-merging;cgp-ext-ld-promotion;cgp-gc-opts;cgp-select2branch;chr;complex-addr-modes;early-taildup;expand-reductions;i2p-p2i-opt;ifcvt-diamond;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle;licm-promotion;loop-idiom-vectorize-bytecmp;loop-level-heuristics;lsr;machine-cse;machine-dce;machine-sink;nofree-inference;partial-inlining;partial-libcall-inlining;phi-elim-edge-splitting;tail-duplicate;thinlto-funcattrs;type-promotion;vp;whole-program-visibility
13,RANDOM_CONFIG_0013,6,25,CopyProp;DataflowConstProp;DeadStoreElimination-final;DestinationPropagation;ImpossiblePredicates;MatchBranchSimplification,2addr-hack;adv-copy-opt;cgp;cgp-gc-opts;cgp-store-extract;cleanups;early-taildup;i2p-p2i-opt;ifcvt-diamond;ifcvt-simple-false;ifcvt-triangle;interleaved-load-combine;loop-level-heuristics;machine-dce;memop-opt;mergeicmps;partial-libcall-inlining;post-ra;postra-machine-licm;postra-machine-sink;preinline;promote-alloca-to-vector;ssc;tail-calls;type-promotion
14,RANDOM_CONFIG_0014,6,18,DestinationPropagation;ForceInline;Inline;JumpThreading;UnreachableEnumBranching;UnreachablePropagation,adv-copy-opt;auto-upgrade-debug-info;cgdata-for-merging;cgp-branch-opts;chr;demotion;early-taildup;expand-reductions;ifcvt-simple-false;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;memop-opt;nounwind-inference;preinline;promote-alloca-to-vector;replace-with-vec-lib;thinlto-funcattrs;vector-combine
15,RANDOM_CONFIG_0015,6,22,CopyProp;DeadStoreElimination-final;EarlyOtherwiseBranch;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates;UnreachablePropagation,cfi-fixup;cgp-gc-opts;complex-addr-modes;demotion;dfa-sched;i2p-p2i-opt;icp;layout-fsprofile-loader;licm-promotion;lsr;machine-cse;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;peephole;postra-machine-sink;promote-alloca-to-vector;replace-with-vec-lib;select-optimize;separate-const-offset-from-gep;strictnode-mutation;tail-calls
16,RANDOM_CONFIG_0016,4,21,EnumSizeOpt;GVN;JumpThreading;SingleUseConsts,binop-extract-shuffle;cgp-delete-phis;cgp-store-extract;cleanups;constant-hoisting;copyprop;global-outlining;i2p-p2i-opt;ifcvt-triangle-rev;loop-idiom-vectorize-bytecmp;machine-cse;machine-dce;memop-opt;mergeicmps;non-allocatable-phys-copy-opt;partial-libcall-inlining;postra-machine-sink;preinline;promote-alloca-to-vector;spill-fusing;tail-calls
17,RANDOM_CONFIG_0017,6,25,DeadStoreElimination-final;DestinationPropagation;ImpossiblePredicates;InstSimplify-before-inline;ReferencePropagation;ScalarReplacementOfAggregates,block-placement;branch-fold;cgdata-for-merging;cgp;cgp-branch-opts;cgp-store-extract;cleanups;demotion;early-taildup;gep-const-evaluation;ifcvt-simple;ifcvt-simple-false;licm-promotion;loop-idiom-vectorize-bytecmp;machine-cse;machine-dce;machine-licm;machine-sink;phi-elim-edge-splitting;preheader-prot;preinline;select-optimize;spill-fusing;vector-combine;vp
