ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_DBL_000_BASELINE,1,baseline,baseline,627256,16.938800,14.442785,Success
EXP_DBL_000_BASELINE,2,baseline,baseline,627256,16.850200,14.152576,Success
EXP_DBL_000_BASELINE,3,baseline,baseline,627256,16.693000,15.365672,Success
EXP_DBL_0001,1,binop-extract-shuffle,CopyProp,627256,16.729700,14.190395,Success
EXP_DBL_0001,2,binop-extract-shuffle,CopyProp,627256,16.672700,16.238374,Success
EXP_DBL_0001,3,binop-extract-shuffle,CopyProp,627256,16.785200,14.401205,Success
EXP_DBL_0002,1,expand-reductions,CopyProp,627288,16.951800,17.092247,Success
EXP_DBL_0002,2,expand-reductions,CopyProp,627288,16.723800,15.768528,Success
EXP_DBL_0002,3,expand-reductions,CopyProp,627288,16.660800,14.272448,Success
EXP_DBL_0003,1,interleaved-load-combine,CopyProp,627256,16.702300,14.904794,Success
EXP_DBL_0003,2,interleaved-load-combine,CopyProp,627256,16.673800,15.813142,Success
EXP_DBL_0003,3,interleaved-load-combine,CopyProp,627256,16.662700,14.929314,Success
EXP_DBL_0004,1,loop-idiom-vectorize-all,CopyProp,627256,16.809500,14.964749,Success
EXP_DBL_0004,2,loop-idiom-vectorize-all,CopyProp,627256,17.001200,17.631950,Success
EXP_DBL_0004,3,loop-idiom-vectorize-all,CopyProp,627256,16.867600,14.106278,Success
EXP_DBL_0005,1,loop-idiom-vectorize-bytecmp,CopyProp,627256,16.938600,13.211594,Success
EXP_DBL_0005,2,loop-idiom-vectorize-bytecmp,CopyProp,627256,16.885500,13.693082,Success
EXP_DBL_0005,3,loop-idiom-vectorize-bytecmp,CopyProp,627256,16.853500,14.473715,Success
EXP_DBL_0006,1,promote-alloca-to-vector,CopyProp,627256,17.338400,15.145221,Success
EXP_DBL_0006,2,promote-alloca-to-vector,CopyProp,627256,16.919000,14.063184,Success
EXP_DBL_0006,3,promote-alloca-to-vector,CopyProp,627256,16.563400,18.563102,Success
EXP_DBL_0007,1,replace-with-vec-lib,CopyProp,627256,16.709000,14.562743,Success
EXP_DBL_0007,2,replace-with-vec-lib,CopyProp,627256,16.646900,15.331266,Success
EXP_DBL_0007,3,replace-with-vec-lib,CopyProp,627256,16.847100,14.498592,Success
EXP_DBL_0008,1,vector-combine,CopyProp,627256,16.652100,16.722338,Success
EXP_DBL_0008,2,vector-combine,CopyProp,627256,16.740700,14.608670,Success
EXP_DBL_0008,3,vector-combine,CopyProp,627256,16.582700,15.852989,Success
EXP_DBL_0009,1,advanced-peeling,CopyProp,627008,16.460700,17.054298,Success
EXP_DBL_0009,2,advanced-peeling,CopyProp,627008,16.651200,14.798842,Success
EXP_DBL_0009,3,advanced-peeling,CopyProp,627008,16.437400,16.983679,Success
EXP_DBL_0010,1,lftr,CopyProp,626672,16.767600,16.264895,Success
EXP_DBL_0010,2,lftr,CopyProp,626672,16.610300,13.399772,Success
