ConfigName,LLVM_Pass,MIR_Pass,BinarySize(Bytes),SerializationTime(s),DeserializationTime(s),CompileTime(s),Status
EXP_000_DEFAULT,baseline,None,612600,0.076643,0.142327,34.6018,Success
EXP_001_DISABLE_ALL,All,None,617448,0.069903,0.156120,57.9980,Success
EXP_ABL_001_disable-binop-extract-shuffle,binop-extract-shuffle,None,612600,0.063870,0.131490,58.2089,Success
EXP_ABL_002_disable-expand-reductions,expand-reductions,None,612632,0.064583,0.131664,67.7673,Success
EXP_ABL_003_disable-interleaved-load-combine,interleaved-load-combine,None,612600,0.064435,0.132806,58.2835,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,loop-idiom-vectorize-all,None,612600,0.064437,0.133525,63.9635,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,loop-idiom-vectorize-bytecmp,None,612600,0.064489,0.134845,66.1376,Success
EXP_ABL_006_disable-promote-alloca-to-vector,promote-alloca-to-vector,None,612600,0.064059,0.133570,63.5211,Success
EXP_ABL_007_disable-replace-with-vec-lib,replace-with-vec-lib,None,612600,0.064334,0.132619,68.3294,Success
EXP_ABL_008_disable-vector-combine,vector-combine,None,612600,0.068378,0.132899,76.2639,Success
EXP_ABL_009_disable-advanced-peeling,advanced-peeling,None,612400,0.064092,0.135443,69.3315,Success
EXP_ABL_010_disable-lftr,lftr,None,612064,0.066776,0.129149,63.3450,Success
EXP_ABL_011_disable-licm-promotion,licm-promotion,None,611920,0.066086,0.133728,65.0829,Success
EXP_ABL_012_disable-loop-level-heuristics,loop-level-heuristics,None,612600,0.066439,0.132795,103.4133,Success
EXP_ABL_013_disable-lsr,lsr,None,611800,0.064885,0.133397,89.2352,Success
EXP_ABL_014_disable-machine-licm,machine-licm,None,612088,0.067267,0.132453,62.9405,Success
EXP_ABL_015_disable-postra-machine-licm,postra-machine-licm,None,612600,0.063150,0.131873,59.5839,Success
EXP_ABL_016_disable-preheader-prot,preheader-prot,None,612600,0.063130,0.132933,59.7036,Success
EXP_ABL_017_disable-block-placement,block-placement,None,609912,0.065875,0.135941,65.8461,Success
EXP_ABL_018_disable-branch-fold,branch-fold,None,613000,0.065606,0.135724,69.1223,Success
EXP_ABL_019_disable-cgp-branch-opts,cgp-branch-opts,None,612600,0.063282,0.131391,69.3190,Success
EXP_ABL_020_disable-cgp-select2branch,cgp-select2branch,None,612600,0.104775,0.241792,66.2436,Success
EXP_ABL_021_disable-chr,chr,None,612600,0.104838,0.233877,62.8952,Success
EXP_ABL_022_disable-early-ifcvt,early-ifcvt,None,612600,0.109210,0.251767,65.9566,Success
EXP_ABL_023_disable-early-taildup,early-taildup,None,612600,0.110398,0.240712,73.1825,Success
