ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),SerializationTime(s),DeserializationTime(s),CompileTime(s),Status
EXP_000_DEFAULT,1,baseline,None,612600,0.064415,0.133549,4.7961,Success
EXP_000_DEFAULT,2,baseline,None,612600,0.065286,0.133375,4.7961,Success
EXP_000_DEFAULT,3,baseline,None,612600,0.065022,0.133411,4.7961,Success
EXP_001_DISABLE_ALL,1,All,None,617448,0.071025,0.156811,86.6155,Success
EXP_001_DISABLE_ALL,2,All,None,617448,0.070733,0.162403,86.6155,Success
EXP_001_DISABLE_ALL,3,All,None,617448,0.070543,0.162133,86.6155,Success
EXP_ABL_001_disable-binop-extract-shuffle,1,binop-extract-shuffle,None,612600,0.063626,0.131212,82.0971,Success
EXP_ABL_001_disable-binop-extract-shuffle,2,binop-extract-shuffle,None,612600,0.063601,0.103758,82.0971,Success
EXP_ABL_001_disable-binop-extract-shuffle,3,binop-extract-shuffle,None,612600,0.064592,0.134481,82.0971,Success
EXP_ABL_002_disable-expand-reductions,1,expand-reductions,None,612632,0.063652,0.132144,95.6925,Success
EXP_ABL_002_disable-expand-reductions,2,expand-reductions,None,612632,0.063817,0.131644,95.6925,Success
EXP_ABL_002_disable-expand-reductions,3,expand-reductions,None,612632,0.063323,0.118132,95.6925,Success
EXP_ABL_003_disable-interleaved-load-combine,1,interleaved-load-combine,None,612600,0.063464,0.133081,73.3754,Success
EXP_ABL_003_disable-interleaved-load-combine,2,interleaved-load-combine,None,612600,0.064161,0.132201,73.3754,Success
EXP_ABL_003_disable-interleaved-load-combine,3,interleaved-load-combine,None,612600,0.063392,0.132373,73.3754,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,1,loop-idiom-vectorize-all,None,612600,0.064157,0.131982,77.1845,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,2,loop-idiom-vectorize-all,None,612600,0.065695,0.133751,77.1845,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,3,loop-idiom-vectorize-all,None,612600,0.063484,0.132126,77.1845,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,1,loop-idiom-vectorize-bytecmp,None,612600,0.064212,0.132002,84.0634,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,2,loop-idiom-vectorize-bytecmp,None,612600,0.063686,0.131038,84.0634,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,3,loop-idiom-vectorize-bytecmp,None,612600,0.062949,0.132887,84.0634,Success
EXP_ABL_006_disable-promote-alloca-to-vector,1,promote-alloca-to-vector,None,612600,0.063544,0.131964,81.5271,Success
EXP_ABL_006_disable-promote-alloca-to-vector,2,promote-alloca-to-vector,None,612600,0.044701,0.091439,81.5271,Success
EXP_ABL_006_disable-promote-alloca-to-vector,3,promote-alloca-to-vector,None,612600,0.064770,0.134562,81.5271,Success
EXP_ABL_007_disable-replace-with-vec-lib,1,replace-with-vec-lib,None,612600,0.063939,0.132912,84.2175,Success
EXP_ABL_007_disable-replace-with-vec-lib,2,replace-with-vec-lib,None,612600,0.064360,0.133220,84.2175,Success
EXP_ABL_007_disable-replace-with-vec-lib,3,replace-with-vec-lib,None,612600,0.065740,0.118329,84.2175,Success
EXP_ABL_008_disable-vector-combine,1,vector-combine,None,612600,0.063384,0.132002,95.1384,Success
EXP_ABL_008_disable-vector-combine,2,vector-combine,None,612600,0.063982,0.132751,95.1384,Success
EXP_ABL_008_disable-vector-combine,3,vector-combine,None,612600,0.064025,0.133367,95.1384,Success
EXP_ABL_009_disable-advanced-peeling,1,advanced-peeling,None,612400,0.065345,0.133321,58.6210,Success
EXP_ABL_009_disable-advanced-peeling,2,advanced-peeling,None,612400,0.064331,0.127707,58.6210,Success
EXP_ABL_009_disable-advanced-peeling,3,advanced-peeling,None,612400,0.064089,0.131901,58.6210,Success
EXP_ABL_010_disable-lftr,1,lftr,None,612064,0.108828,0.262504,92.9870,Success
EXP_ABL_010_disable-lftr,2,lftr,None,612064,0.110059,0.267634,92.9870,Success
EXP_ABL_010_disable-lftr,3,lftr,None,612064,0.109819,0.264609,92.9870,Success
EXP_ABL_011_disable-licm-promotion,1,licm-promotion,None,611920,0.107780,0.248396,74.1179,Success
EXP_ABL_011_disable-licm-promotion,2,licm-promotion,None,611920,0.102647,0.239820,74.1179,Success
EXP_ABL_011_disable-licm-promotion,3,licm-promotion,None,611920,0.101845,0.245032,74.1179,Success
EXP_ABL_012_disable-loop-level-heuristics,1,loop-level-heuristics,None,612600,0.114582,0.263122,42.1544,Success
EXP_ABL_012_disable-loop-level-heuristics,2,loop-level-heuristics,None,612600,0.118715,0.266854,42.1544,Success
EXP_ABL_012_disable-loop-level-heuristics,3,loop-level-heuristics,None,612600,0.113616,0.361138,42.1544,Success
EXP_ABL_013_disable-lsr,1,lsr,None,611800,0.065240,0.133373,61.8263,Success
EXP_ABL_013_disable-lsr,2,lsr,None,611800,0.064682,0.131616,61.8263,Success
EXP_ABL_013_disable-lsr,3,lsr,None,611800,0.066440,0.135972,61.8263,Success
EXP_ABL_014_disable-machine-licm,1,machine-licm,None,612088,0.066103,0.130073,82.7077,Success
EXP_ABL_014_disable-machine-licm,2,machine-licm,None,612088,0.066333,0.130871,82.7077,Success
EXP_ABL_014_disable-machine-licm,3,machine-licm,None,612088,0.066392,0.133719,82.7077,Success
EXP_ABL_015_disable-postra-machine-licm,1,postra-machine-licm,None,612600,0.064119,0.133207,88.7433,Success
EXP_ABL_015_disable-postra-machine-licm,2,postra-machine-licm,None,612600,0.063223,0.132687,88.7433,Success
EXP_ABL_015_disable-postra-machine-licm,3,postra-machine-licm,None,612600,0.066424,0.132339,88.7433,Success
EXP_ABL_016_disable-preheader-prot,1,preheader-prot,None,612600,0.064916,0.133394,73.0397,Success
EXP_ABL_016_disable-preheader-prot,2,preheader-prot,None,612600,0.063490,0.131350,73.0397,Success
EXP_ABL_016_disable-preheader-prot,3,preheader-prot,None,612600,0.065082,0.133314,73.0397,Success
EXP_ABL_017_disable-block-placement,1,block-placement,None,609912,0.065810,0.138571,86.8430,Success
EXP_ABL_017_disable-block-placement,2,block-placement,None,609912,0.066270,0.136295,86.8430,Success
EXP_ABL_017_disable-block-placement,3,block-placement,None,609912,0.065715,0.138685,86.8430,Success
EXP_ABL_018_disable-branch-fold,1,branch-fold,None,613000,0.064867,0.133185,73.3052,Success
EXP_ABL_018_disable-branch-fold,2,branch-fold,None,613000,0.065490,0.132529,73.3052,Success
EXP_ABL_018_disable-branch-fold,3,branch-fold,None,613000,0.064966,0.127912,73.3052,Success
EXP_ABL_019_disable-cgp-branch-opts,1,cgp-branch-opts,None,612600,0.063978,0.133057,79.1542,Success
EXP_ABL_019_disable-cgp-branch-opts,2,cgp-branch-opts,None,612600,0.064086,0.133393,79.1542,Success
EXP_ABL_019_disable-cgp-branch-opts,3,cgp-branch-opts,None,612600,0.063807,0.133180,79.1542,Success
EXP_ABL_020_disable-cgp-select2branch,1,cgp-select2branch,None,612600,0.065798,0.136278,84.1146,Success
EXP_ABL_020_disable-cgp-select2branch,2,cgp-select2branch,None,612600,0.066003,0.133695,84.1146,Success
EXP_ABL_020_disable-cgp-select2branch,3,cgp-select2branch,None,612600,0.063352,0.133129,84.1146,Success
EXP_ABL_021_disable-chr,1,chr,None,612600,0.065033,0.135157,84.5771,Success
EXP_ABL_021_disable-chr,2,chr,None,612600,0.066279,0.135152,84.5771,Success
EXP_ABL_021_disable-chr,3,chr,None,612600,0.065914,0.124304,84.5771,Success
EXP_ABL_022_disable-early-ifcvt,1,early-ifcvt,None,612600,0.068926,0.134964,83.7328,Success
EXP_ABL_022_disable-early-ifcvt,2,early-ifcvt,None,612600,0.064168,0.103985,83.7328,Success
EXP_ABL_022_disable-early-ifcvt,3,early-ifcvt,None,612600,0.043037,0.090461,83.7328,Success
EXP_ABL_023_disable-early-taildup,1,early-taildup,None,612600,0.065341,0.133175,86.2807,Success
EXP_ABL_023_disable-early-taildup,2,early-taildup,None,612600,0.043099,0.091912,86.2807,Success
EXP_ABL_023_disable-early-taildup,3,early-taildup,None,612600,0.064851,0.133347,86.2807,Success
EXP_ABL_024_disable-ifcvt-diamond,1,ifcvt-diamond,None,612600,0.063318,0.132976,87.0475,Success
EXP_ABL_024_disable-ifcvt-diamond,2,ifcvt-diamond,None,612600,0.065599,0.133812,87.0475,Success
EXP_ABL_024_disable-ifcvt-diamond,3,ifcvt-diamond,None,612600,0.063017,0.136697,87.0475,Success
EXP_ABL_025_disable-ifcvt-forked-diamond,1,ifcvt-forked-diamond,None,612600,0.063845,0.134750,82.4834,Success
EXP_ABL_025_disable-ifcvt-forked-diamond,2,ifcvt-forked-diamond,None,612600,0.064028,0.133231,82.4834,Success
EXP_ABL_025_disable-ifcvt-forked-diamond,3,ifcvt-forked-diamond,None,612600,0.064559,0.132852,82.4834,Success
EXP_ABL_026_disable-ifcvt-simple,1,ifcvt-simple,None,612600,0.066175,0.132775,79.6272,Success
EXP_ABL_026_disable-ifcvt-simple,2,ifcvt-simple,None,612600,0.069247,0.146164,79.6272,Success
EXP_ABL_026_disable-ifcvt-simple,3,ifcvt-simple,None,612600,0.065386,0.110482,79.6272,Success
EXP_ABL_027_disable-ifcvt-simple-false,1,ifcvt-simple-false,None,612600,0.065134,0.132918,93.9132,Success
EXP_ABL_027_disable-ifcvt-simple-false,2,ifcvt-simple-false,None,612600,0.051555,0.090863,93.9132,Success
EXP_ABL_027_disable-ifcvt-simple-false,3,ifcvt-simple-false,None,612600,0.064743,0.133066,93.9132,Success
EXP_ABL_028_disable-ifcvt-triangle,1,ifcvt-triangle,None,612600,0.063471,0.133243,80.1032,Success
EXP_ABL_028_disable-ifcvt-triangle,2,ifcvt-triangle,None,612600,0.064531,0.131854,80.1032,Success
EXP_ABL_028_disable-ifcvt-triangle,3,ifcvt-triangle,None,612600,0.063682,0.132653,80.1032,Success
EXP_ABL_029_disable-ifcvt-triangle-false,1,ifcvt-triangle-false,None,612600,0.063757,0.136031,85.0198,Success
EXP_ABL_029_disable-ifcvt-triangle-false,2,ifcvt-triangle-false,None,612600,0.063437,0.133921,85.0198,Success
EXP_ABL_029_disable-ifcvt-triangle-false,3,ifcvt-triangle-false,None,612600,0.065523,0.132169,85.0198,Success
EXP_ABL_030_disable-ifcvt-triangle-rev,1,ifcvt-triangle-rev,None,612600,0.064449,0.133534,81.4508,Success
EXP_ABL_030_disable-ifcvt-triangle-rev,2,ifcvt-triangle-rev,None,612600,0.064349,0.132739,81.4508,Success
EXP_ABL_030_disable-ifcvt-triangle-rev,3,ifcvt-triangle-rev,None,612600,0.065689,0.136727,81.4508,Success
EXP_ABL_031_disable-tail-calls,1,tail-calls,None,612600,0.045066,0.097368,77.2118,Success
EXP_ABL_031_disable-tail-calls,2,tail-calls,None,612600,0.064761,0.176151,77.2118,Success
EXP_ABL_031_disable-tail-calls,3,tail-calls,None,612600,0.065050,0.138566,77.2118,Success
EXP_ABL_032_disable-tail-duplicate,1,tail-duplicate,None,612536,0.065046,0.132487,71.0800,Success
