ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_DEFAULT,1,baseline,None,627256,2.123500,0.658637,Success
EXP_000_DEFAULT,2,baseline,None,627256,2.239000,0.658637,Success
EXP_000_DEFAULT,3,baseline,None,627256,2.130300,0.658637,Success
EXP_001_DISABLE_ALL,1,All,None,632088,2.401600,0.644488,Success
EXP_001_DISABLE_ALL,2,All,None,632088,2.334800,0.644488,Success
EXP_001_DISABLE_ALL,3,All,None,632088,2.165500,0.644488,Success
EXP_ABL_001_disable-binop-extract-shuffle,1,binop-extract-shuffle,None,627256,2.058700,0.670253,Success
EXP_ABL_001_disable-binop-extract-shuffle,2,binop-extract-shuffle,None,627256,2.329000,0.670253,Success
EXP_ABL_001_disable-binop-extract-shuffle,3,binop-extract-shuffle,None,627256,2.082800,0.670253,Success
EXP_ABL_002_disable-expand-reductions,1,expand-reductions,None,627288,2.044700,0.663867,Success
EXP_ABL_002_disable-expand-reductions,2,expand-reductions,None,627288,2.095400,0.663867,Success
EXP_ABL_002_disable-expand-reductions,3,expand-reductions,None,627288,1.979500,0.663867,Success
EXP_ABL_003_disable-interleaved-load-combine,1,interleaved-load-combine,None,627256,2.128700,0.812615,Success
EXP_ABL_003_disable-interleaved-load-combine,2,interleaved-load-combine,None,627256,2.201800,0.812615,Success
EXP_ABL_003_disable-interleaved-load-combine,3,interleaved-load-combine,None,627256,2.148400,0.812615,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,1,loop-idiom-vectorize-all,None,627256,2.114700,1.546508,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,2,loop-idiom-vectorize-all,None,627256,2.123500,1.546508,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,3,loop-idiom-vectorize-all,None,627256,2.142300,1.546508,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,1,loop-idiom-vectorize-bytecmp,None,627256,2.116500,1.277878,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,2,loop-idiom-vectorize-bytecmp,None,627256,2.145700,1.277878,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,3,loop-idiom-vectorize-bytecmp,None,627256,2.151700,1.277878,Success
EXP_ABL_006_disable-promote-alloca-to-vector,1,promote-alloca-to-vector,None,627256,2.099700,1.224971,Success
EXP_ABL_006_disable-promote-alloca-to-vector,2,promote-alloca-to-vector,None,627256,1.913600,1.224971,Success
EXP_ABL_006_disable-promote-alloca-to-vector,3,promote-alloca-to-vector,None,627256,2.128300,1.224971,Success
EXP_ABL_007_disable-replace-with-vec-lib,1,replace-with-vec-lib,None,627256,2.135200,1.465673,Success
EXP_ABL_007_disable-replace-with-vec-lib,2,replace-with-vec-lib,None,627256,1.948200,1.465673,Success
EXP_ABL_007_disable-replace-with-vec-lib,3,replace-with-vec-lib,None,627256,2.118600,1.465673,Success
EXP_ABL_008_disable-vector-combine,1,vector-combine,None,627256,2.067800,1.106793,Success
EXP_ABL_008_disable-vector-combine,2,vector-combine,None,627256,2.070700,1.106793,Success
EXP_ABL_008_disable-vector-combine,3,vector-combine,None,627256,2.070700,1.106793,Success
EXP_ABL_009_disable-advanced-peeling,1,advanced-peeling,None,627008,2.071200,18.535193,Success
EXP_ABL_009_disable-advanced-peeling,2,advanced-peeling,None,627008,2.086600,18.535193,Success
EXP_ABL_009_disable-advanced-peeling,3,advanced-peeling,None,627008,1.871300,18.535193,Success
EXP_ABL_010_disable-lftr,1,lftr,None,626664,2.047300,18.729443,Success
EXP_ABL_010_disable-lftr,2,lftr,None,626664,2.105900,18.729443,Success
EXP_ABL_010_disable-lftr,3,lftr,None,626664,1.913800,18.729443,Success
EXP_ABL_011_disable-licm-promotion,1,licm-promotion,None,625904,1.832200,17.518924,Success
EXP_ABL_011_disable-licm-promotion,2,licm-promotion,None,625904,2.038600,17.518924,Success
EXP_ABL_011_disable-licm-promotion,3,licm-promotion,None,625904,2.056300,17.518924,Success
EXP_ABL_012_disable-loop-level-heuristics,1,loop-level-heuristics,None,627256,3.616900,18.546600,Success
