ConfigName,LLVM_Pass,MIR_Pass,BinarySize(Bytes),SerializationTime(s),DeserializationTime(s),CompileTime(s),Status
EXP_000_DEFAULT,None,N/A,612600,0.063057,0.130660,28.3339,Success
EXP_001_ALL_ON,None,All,612600,0.062948,0.146793,46.3892,Success
EXP_002_ALL_OFF,None,All,616704,0.065148,0.133401,46.3374,Success
EXP_ABL_001_CopyProp,None,CopyProp,612600,0.062551,0.130748,41.2934,Success
EXP_ABL_002_DataflowConstProp,None,DataflowConstProp,612600,0.064367,0.133455,47.9201,Success
EXP_ABL_003_DeadStoreElimination-final,None,DeadStoreElimination-final,612488,0.062945,0.129117,63.8533,Success
EXP_ABL_004_DeadStoreElimination-initial,None,DeadStoreElimination-initial,612600,0.064920,0.134152,55.3284,Success
EXP_ABL_005_DestinationPropagation,None,DestinationPropagation,612584,0.063428,0.131026,77.9353,Success
EXP_ABL_006_EarlyOtherwiseBranch,None,EarlyOtherwiseBranch,612600,0.063621,0.132327,58.5549,Success
EXP_ABL_007_EnumSizeOpt,None,EnumSizeOpt,612600,0.063546,0.133610,53.2514,Success
EXP_ABL_008_ForceInline,None,ForceInline,612600,0.064277,0.136556,51.4981,Success
EXP_ABL_009_GVN,None,GVN,612592,0.063374,0.131414,40.8409,Success
EXP_ABL_010_ImpossiblePredicates,None,ImpossiblePredicates,612600,0.063294,0.130290,35.9536,Success
EXP_ABL_011_Inline,None,Inline,615608,0.066036,0.132430,53.3804,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,None,InstSimplify-after-simplifycfg,611880,0.066019,0.132217,62.9545,Success
EXP_ABL_013_InstSimplify-before-inline,None,InstSimplify-before-inline,612600,0.064544,0.131888,62.6747,Success
EXP_ABL_014_JumpThreading,None,JumpThreading,612832,0.068011,0.137344,53.8592,Success
EXP_ABL_015_MatchBranchSimplification,None,MatchBranchSimplification,612600,0.064316,0.139211,57.1285,Success
EXP_ABL_016_ReferencePropagation,None,ReferencePropagation,612272,0.063772,0.131722,56.2190,Success
EXP_ABL_017_ScalarReplacementOfAggregates,None,ScalarReplacementOfAggregates,612568,0.064675,0.133544,64.4654,Success
EXP_ABL_018_SingleUseConsts,None,SingleUseConsts,612600,0.064802,0.133105,59.0381,Success
EXP_ABL_019_UnreachableEnumBranching,None,UnreachableEnumBranching,612600,0.064037,0.130824,56.8199,Success
EXP_ABL_020_UnreachablePropagation,None,UnreachablePropagation,612600,0.064803,0.132855,56.4287,Success
EXP_ISO_001_CopyProp,None,CopyProp,615840,0.065573,0.134451,49.4177,Success
EXP_ISO_002_DataflowConstProp,None,DataflowConstProp,616864,0.065843,0.135681,54.8525,Success
EXP_ISO_003_DeadStoreElimination-final,None,DeadStoreElimination-final,616856,0.065640,0.134311,56.5699,Success
EXP_ISO_004_DeadStoreElimination-initial,None,DeadStoreElimination-initial,616856,0.065721,0.135595,53.8642,Success
EXP_ISO_005_DestinationPropagation,None,DestinationPropagation,616104,0.065010,0.134780,54.8590,Success
EXP_ISO_006_EarlyOtherwiseBranch,None,EarlyOtherwiseBranch,616704,0.064650,0.132263,53.9708,Success
EXP_ISO_007_EnumSizeOpt,None,EnumSizeOpt,616704,0.065736,0.158594,51.5424,Success
EXP_ISO_008_ForceInline,None,ForceInline,616704,0.097802,0.166775,53.8436,Success
EXP_ISO_009_GVN,None,GVN,615848,0.065817,0.143601,52.7945,Success
EXP_ISO_010_ImpossiblePredicates,None,ImpossiblePredicates,616704,0.065099,0.134665,55.8922,Success
EXP_ISO_011_Inline,None,Inline,612944,0.066367,0.134263,52.9493,Success
EXP_ISO_012_InstSimplify-after-simplifycfg,None,InstSimplify-after-simplifycfg,616704,0.065786,0.140273,60.3160,Success
EXP_ISO_013_InstSimplify-before-inline,None,InstSimplify-before-inline,616704,0.064960,0.134293,55.5844,Success
EXP_ISO_014_JumpThreading,None,JumpThreading,616480,0.065447,0.133177,60.0715,Success
EXP_ISO_015_MatchBranchSimplification,None,MatchBranchSimplification,616704,0.044627,0.091755,56.7572,Success
EXP_ISO_016_ReferencePropagation,None,ReferencePropagation,616832,0.064718,0.133259,72.9627,Success
EXP_ISO_017_ScalarReplacementOfAggregates,None,ScalarReplacementOfAggregates,616304,0.066535,0.134415,62.4612,Success
EXP_ISO_018_SingleUseConsts,None,SingleUseConsts,616704,0.065490,0.135070,48.2222,Success
EXP_ISO_019_UnreachableEnumBranching,None,UnreachableEnumBranching,616416,0.065145,0.139901,51.5283,Success
EXP_ISO_020_UnreachablePropagation,None,UnreachablePropagation,616704,0.064931,0.133648,55.4344,Success
