ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_DEFAULT,1,None,N/A,627256,16.866900,15.693609,Success
EXP_000_DEFAULT,2,None,N/A,627256,17.085400,15.124509,Success
EXP_000_DEFAULT,3,None,N/A,627256,16.892800,14.093215,Success
EXP_001_ALL_ON,1,None,All,627256,16.930800,13.703519,Success
EXP_001_ALL_ON,2,None,All,627256,16.707800,14.123487,Success
EXP_001_ALL_ON,3,None,All,627256,16.825700,13.742353,Success
EXP_002_ALL_OFF,1,None,All,631120,17.616300,15.490074,Success
EXP_002_ALL_OFF,2,None,All,631120,17.397400,14.848951,Success
EXP_002_ALL_OFF,3,None,All,631120,17.606800,14.573035,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,627256,16.775600,14.747177,Success
EXP_ABL_001_CopyProp,2,None,CopyProp,627256,17.004500,20.300829,Success
EXP_ABL_001_CopyProp,3,None,CopyProp,627256,17.084900,15.015554,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,627256,16.889800,14.807967,Success
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,627256,16.740600,15.501607,Success
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,627256,16.905000,15.131984,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,627176,16.772000,15.342316,Success
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,627176,16.969300,14.510344,Success
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,627176,16.944300,15.313242,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,627256,16.935100,13.618997,Success
EXP_ABL_004_DeadStoreElimination-initial,2,None,DeadStoreElimination-initial,627256,16.811200,15.485673,Success
EXP_ABL_004_DeadStoreElimination-initial,3,None,DeadStoreElimination-initial,627256,16.648400,14.198154,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,627288,16.922000,15.034207,Success
EXP_ABL_005_DestinationPropagation,2,None,DestinationPropagation,627288,16.871600,13.784081,Success
EXP_ABL_005_DestinationPropagation,3,None,DestinationPropagation,627288,18.404200,14.935198,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,627256,16.999400,15.358353,Success
EXP_ABL_006_EarlyOtherwiseBranch,2,None,EarlyOtherwiseBranch,627256,16.949100,14.416108,Success
EXP_ABL_006_EarlyOtherwiseBranch,3,None,EarlyOtherwiseBranch,627256,16.805300,14.775449,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,627256,16.690900,14.508544,Success
EXP_ABL_007_EnumSizeOpt,2,None,EnumSizeOpt,627256,17.020600,15.299788,Success
EXP_ABL_007_EnumSizeOpt,3,None,EnumSizeOpt,627256,16.856300,15.071878,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,627256,17.009700,14.809325,Success
EXP_ABL_008_ForceInline,2,None,ForceInline,627256,16.840500,13.909633,Success
EXP_ABL_008_ForceInline,3,None,ForceInline,627256,16.968100,15.270756,Success
EXP_ABL_009_GVN,1,None,GVN,626416,16.780300,15.332754,Success
EXP_ABL_009_GVN,2,None,GVN,626416,16.979300,14.093323,Success
EXP_ABL_009_GVN,3,None,GVN,626416,16.785800,15.799409,Success
EXP_ABL_010_ImpossiblePredicates,1,None,ImpossiblePredicates,627256,16.755200,15.108159,Success
EXP_ABL_010_ImpossiblePredicates,2,None,ImpossiblePredicates,627256,16.898600,14.552783,Success
EXP_ABL_010_ImpossiblePredicates,3,None,ImpossiblePredicates,627256,16.730600,14.714235,Success
EXP_ABL_011_Inline,1,None,Inline,629968,17.349900,14.994944,Success
EXP_ABL_011_Inline,2,None,Inline,629968,17.228000,21.351944,Success
EXP_ABL_011_Inline,3,None,Inline,629968,17.487700,16.080949,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,1,None,InstSimplify-after-simplifycfg,627408,16.842900,14.003370,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,2,None,InstSimplify-after-simplifycfg,627408,16.982200,14.228890,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,3,None,InstSimplify-after-simplifycfg,627408,16.867500,14.016947,Success
EXP_ABL_013_InstSimplify-before-inline,1,None,InstSimplify-before-inline,627256,17.143400,15.056598,Success
EXP_ABL_013_InstSimplify-before-inline,2,None,InstSimplify-before-inline,627256,16.787800,15.360074,Success
EXP_ABL_013_InstSimplify-before-inline,3,None,InstSimplify-before-inline,627256,16.765200,16.020135,Success
EXP_ABL_014_JumpThreading,1,None,JumpThreading,628048,17.707500,19.041989,Success
EXP_ABL_014_JumpThreading,2,None,JumpThreading,628048,17.229900,14.109049,Success
EXP_ABL_014_JumpThreading,3,None,JumpThreading,628048,17.654200,13.466722,Success
EXP_ABL_015_MatchBranchSimplification,1,None,MatchBranchSimplification,627256,16.874600,16.032005,Success
EXP_ABL_015_MatchBranchSimplification,2,None,MatchBranchSimplification,627256,16.505100,14.294209,Success
EXP_ABL_015_MatchBranchSimplification,3,None,MatchBranchSimplification,627256,17.095900,14.617138,Success
EXP_ABL_016_ReferencePropagation,1,None,ReferencePropagation,627032,16.792300,14.745362,Success
EXP_ABL_016_ReferencePropagation,2,None,ReferencePropagation,627032,16.931900,14.239306,Success
EXP_ABL_016_ReferencePropagation,3,None,ReferencePropagation,627032,16.590200,13.966713,Success
EXP_ABL_017_ScalarReplacementOfAggregates,1,None,ScalarReplacementOfAggregates,627240,16.808500,15.704015,Success
EXP_ABL_017_ScalarReplacementOfAggregates,2,None,ScalarReplacementOfAggregates,627240,16.747300,15.644748,Success
EXP_ABL_017_ScalarReplacementOfAggregates,3,None,ScalarReplacementOfAggregates,627240,16.634500,18.451104,Success
