ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,serde,1,None,All,628248,13.420100,19.127987,Success
EXP_000_ALL_OFF,serde,2,None,All,628248,13.359400,19.127987,Success
EXP_000_ALL_OFF,serde,3,None,All,628248,13.257600,19.127987,Success
EXP_000_ALL_OFF,serde,4,None,All,628248,13.381600,19.127987,Success
EXP_000_ALL_OFF,serde,5,None,All,628248,13.313500,19.127987,Success
EXP_000_ALL_OFF,serde,6,None,All,628248,13.582600,19.127987,Success
EXP_000_ALL_OFF,serde,7,None,All,628248,13.345600,19.127987,Success
EXP_000_ALL_OFF,serde,8,None,All,628248,13.351600,19.127987,Success
EXP_000_ALL_OFF,serde,9,None,All,628248,13.249800,19.127987,Success
EXP_000_ALL_OFF,serde,10,None,All,628248,13.455400,19.127987,Success
EXP_ABL_001_CopyProp,serde,1,None,CopyProp,628088,11.862400,18.367398,Success
EXP_ABL_001_CopyProp,serde,2,None,CopyProp,628088,11.800400,18.367398,Success
EXP_ABL_001_CopyProp,serde,3,None,CopyProp,628088,11.800400,18.367398,Success
EXP_ABL_001_CopyProp,serde,4,None,CopyProp,628088,11.648700,18.367398,Success
EXP_ABL_001_CopyProp,serde,5,None,CopyProp,628088,11.760400,18.367398,Success
EXP_ABL_001_CopyProp,serde,6,None,CopyProp,628088,11.674100,18.367398,Success
EXP_ABL_001_CopyProp,serde,7,None,CopyProp,628088,11.648400,18.367398,Success
EXP_ABL_001_CopyProp,serde,8,None,CopyProp,628088,11.750000,18.367398,Success
EXP_ABL_001_CopyProp,serde,9,None,CopyProp,628088,11.665700,18.367398,Success
EXP_ABL_001_CopyProp,serde,10,None,CopyProp,628088,11.778500,18.367398,Success
EXP_ABL_002_DataflowConstProp,serde,1,None,DataflowConstProp,627824,11.765800,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,2,None,DataflowConstProp,627824,11.720500,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,3,None,DataflowConstProp,627824,11.686200,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,4,None,DataflowConstProp,627824,11.798800,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,5,None,DataflowConstProp,627824,11.820900,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,6,None,DataflowConstProp,627824,11.755700,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,7,None,DataflowConstProp,627824,11.806700,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,8,None,DataflowConstProp,627824,11.873600,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,9,None,DataflowConstProp,627824,12.103200,18.148044,Success
EXP_ABL_002_DataflowConstProp,serde,10,None,DataflowConstProp,627824,11.722600,18.148044,Success
EXP_ABL_003_DeadStoreElimination-final,serde,1,None,DeadStoreElimination-final,628152,11.846400,17.835443,Success
EXP_ABL_003_DeadStoreElimination-final,serde,2,None,DeadStoreElimination-final,628152,11.711200,17.835443,Success
EXP_ABL_003_DeadStoreElimination-final,serde,3,None,DeadStoreElimination-final,628152,11.708000,17.835443,Success
EXP_ABL_003_DeadStoreElimination-final,serde,4,None,DeadStoreElimination-final,628152,11.750400,17.835443,Success
EXP_ABL_003_DeadStoreElimination-final,serde,5,None,DeadStoreElimination-final,628152,11.757800,17.835443,Success
EXP_ABL_003_DeadStoreElimination-final,serde,6,None,DeadStoreElimination-final,628152,11.956600,17.835443,Success
