Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
serde,EXP_000_ALL_OFF,10,13.371720,13.355500,0.088950,19.127987,19.127987,0.000000,628248.000000,628248
serde,EXP_001_DISABLE_ALL,10,13.036890,13.022650,0.051500,14.562923,14.562923,0.000000,634224.000000,634224
serde,EXP_ABL_001_CopyProp,10,11.738900,11.755200,0.127125,18.367398,18.367398,0.000000,628088.000000,628088
serde,EXP_ABL_001_disable-binop-extract-shuffle,10,11.664490,11.648250,0.088500,16.118277,16.118277,0.000000,627824.000000,627824
serde,EXP_ABL_002_DataflowConstProp,10,11.805400,11.782300,0.086475,18.148044,18.148044,0.000000,627824.000000,627824
serde,EXP_ABL_002_disable-expand-reductions,10,11.673880,11.651350,0.121650,15.858434,15.858434,0.000000,627856.000000,627856
serde,EXP_ABL_003_DeadStoreElimination-final,10,11.749350,11.730800,0.054500,17.835443,17.835443,0.000000,628152.000000,628152
serde,EXP_ABL_003_disable-interleaved-load-combine,10,11.687670,11.635850,0.169050,15.870141,15.870141,0.000000,627824.000000,627824
serde,EXP_ABL_004_DeadStoreElimination-initial,10,11.781550,11.791050,0.059450,17.621559,17.621559,0.000000,627824.000000,627824
serde,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,11.697480,11.656300,0.095500,15.716952,15.716952,0.000000,627824.000000,627824
serde,EXP_ABL_005_DestinationPropagation,10,11.647580,11.636800,0.076450,18.202584,18.202584,0.000000,627888.000000,627888
serde,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,11.862380,11.654350,0.065725,15.896785,15.896785,0.000000,627824.000000,627824
serde,EXP_ABL_006_EarlyOtherwiseBranch,10,11.737850,11.735600,0.095300,18.303927,18.303927,0.000000,627824.000000,627824
serde,EXP_ABL_006_disable-promote-alloca-to-vector,10,11.710830,11.706350,0.139950,16.112926,16.112926,0.000000,627824.000000,627824
serde,EXP_ABL_007_EnumSizeOpt,10,11.713720,11.673300,0.149550,17.205719,17.205719,0.000000,627824.000000,627824
serde,EXP_ABL_007_disable-replace-with-vec-lib,10,11.663670,11.635600,0.104150,15.944345,15.944345,0.000000,627824.000000,627824
serde,EXP_ABL_008_ForceInline,10,11.670440,11.637950,0.087475,17.253648,17.253648,0.000000,627824.000000,627824
serde,EXP_ABL_008_disable-vector-combine,10,11.700430,11.666200,0.122925,15.986901,15.986901,0.000000,627824.000000,627824
serde,EXP_ABL_009_GVN,10,12.989690,12.956500,0.062125,16.932044,16.932044,0.000000,622320.000000,622320
serde,EXP_ABL_009_disable-advanced-peeling,10,11.563350,11.405850,0.021950,15.606593,15.606593,0.000000,626304.000000,626304
serde,EXP_ABL_010_ImpossiblePredicates,10,11.666560,11.663200,0.086475,16.635665,16.635665,0.000000,627824.000000,627824
serde,EXP_ABL_010_disable-lftr,10,11.538290,11.505150,0.128225,15.670985,15.670985,0.000000,626800.000000,626800
serde,EXP_ABL_011_Inline,10,13.482350,13.433850,0.181375,16.240777,16.240777,0.000000,628736.000000,628736
serde,EXP_ABL_011_disable-licm-promotion,10,11.516080,11.503050,0.087125,15.877057,15.877057,0.000000,626288.000000,626288
serde,EXP_ABL_012_InstSimplify-after-simplifycfg,10,12.237800,12.200550,0.090175,15.719841,15.719841,0.000000,616856.000000,616856
serde,EXP_ABL_012_disable-loop-level-heuristics,10,11.662790,11.641550,0.055775,15.727575,15.727575,0.000000,627824.000000,627824
serde,EXP_ABL_013_InstSimplify-before-inline,10,11.646740,11.645250,0.049350,15.906608,15.906608,0.000000,627824.000000,627824
serde,EXP_ABL_013_disable-lsr,10,11.563290,11.544150,0.089550,15.341809,15.341809,0.000000,626432.000000,626432
serde,EXP_ABL_014_JumpThreading,10,13.221950,13.216600,0.075825,15.863528,15.863528,0.000000,622280.000000,622280
