Experiment_ID,Type,Target_Pass,RUSTFLAGS,Description
EXP_000_ALL_OFF,Global_Config,All,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",Force disable all 20 tunable optimizations
EXP_ABL_001_CopyProp,Ablation (Leave-One-Out),CopyProp,-Z mir-enable-passes=-CopyProp,All ON except CopyProp is OFF
EXP_ABL_002_DataflowConstProp,Ablation (Leave-One-Out),DataflowConstProp,-Z mir-enable-passes=-DataflowConstProp,All ON except DataflowConstProp is OFF
EXP_ABL_003_DeadStoreElimination-final,Ablation (Leave-One-Out),DeadStoreElimination-final,-Z mir-enable-passes=-DeadStoreElimination-final,All ON except DeadStoreElimination-final is OFF
EXP_ABL_004_DeadStoreElimination-initial,Ablation (Leave-One-Out),DeadStoreElimination-initial,-Z mir-enable-passes=-DeadStoreElimination-initial,All ON except DeadStoreElimination-initial is OFF
EXP_ABL_005_DestinationPropagation,Ablation (Leave-One-Out),DestinationPropagation,-Z mir-enable-passes=-DestinationPropagation,All ON except DestinationPropagation is OFF
EXP_ABL_006_EarlyOtherwiseBranch,Ablation (Leave-One-Out),EarlyOtherwiseBranch,-Z mir-enable-passes=-EarlyOtherwiseBranch,All ON except EarlyOtherwiseBranch is OFF
EXP_ABL_007_EnumSizeOpt,Ablation (Leave-One-Out),EnumSizeOpt,-Z mir-enable-passes=-EnumSizeOpt,All ON except EnumSizeOpt is OFF
EXP_ABL_008_ForceInline,Ablation (Leave-One-Out),ForceInline,-Z mir-enable-passes=-ForceInline,All ON except ForceInline is OFF
EXP_ABL_009_GVN,Ablation (Leave-One-Out),GVN,-Z mir-enable-passes=-GVN,All ON except GVN is OFF
EXP_ABL_010_ImpossiblePredicates,Ablation (Leave-One-Out),ImpossiblePredicates,-Z mir-enable-passes=-ImpossiblePredicates,All ON except ImpossiblePredicates is OFF
EXP_ABL_011_Inline,Ablation (Leave-One-Out),Inline,-Z mir-enable-passes=-Inline,All ON except Inline is OFF
EXP_ABL_012_InstSimplify-after-simplifycfg,Ablation (Leave-One-Out),InstSimplify-after-simplifycfg,-Z mir-enable-passes=-InstSimplify-after-simplifycfg,All ON except InstSimplify-after-simplifycfg is OFF
EXP_ABL_013_InstSimplify-before-inline,Ablation (Leave-One-Out),InstSimplify-before-inline,-Z mir-enable-passes=-InstSimplify-before-inline,All ON except InstSimplify-before-inline is OFF
EXP_ABL_014_JumpThreading,Ablation (Leave-One-Out),JumpThreading,-Z mir-enable-passes=-JumpThreading,All ON except JumpThreading is OFF
EXP_ABL_015_MatchBranchSimplification,Ablation (Leave-One-Out),MatchBranchSimplification,-Z mir-enable-passes=-MatchBranchSimplification,All ON except MatchBranchSimplification is OFF
EXP_ABL_016_ReferencePropagation,Ablation (Leave-One-Out),ReferencePropagation,-Z mir-enable-passes=-ReferencePropagation,All ON except ReferencePropagation is OFF
EXP_ABL_017_ScalarReplacementOfAggregates,Ablation (Leave-One-Out),ScalarReplacementOfAggregates,-Z mir-enable-passes=-ScalarReplacementOfAggregates,All ON except ScalarReplacementOfAggregates is OFF
EXP_ABL_018_SingleUseConsts,Ablation (Leave-One-Out),SingleUseConsts,-Z mir-enable-passes=-SingleUseConsts,All ON except SingleUseConsts is OFF
EXP_ABL_019_UnreachableEnumBranching,Ablation (Leave-One-Out),UnreachableEnumBranching,-Z mir-enable-passes=-UnreachableEnumBranching,All ON except UnreachableEnumBranching is OFF
EXP_ABL_020_UnreachablePropagation,Ablation (Leave-One-Out),UnreachablePropagation,-Z mir-enable-passes=-UnreachablePropagation,All ON except UnreachablePropagation is OFF
