Experiment_ID,Type,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_DBL_000_BASELINE,Baseline,None,None,,Default settings (All Enabled)
EXP_DBL_0001,Double_Disable,-disable-binop-extract-shuffle,CopyProp,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-binop-extract-shuffle AND MIR CopyProp
EXP_DBL_0002,Double_Disable,-disable-expand-reductions,CopyProp,-C llvm-args=-disable-expand-reductions -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-expand-reductions AND MIR CopyProp
EXP_DBL_0003,Double_Disable,-disable-interleaved-load-combine,CopyProp,-C llvm-args=-disable-interleaved-load-combine -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-interleaved-load-combine AND MIR CopyProp
EXP_DBL_0004,Double_Disable,-disable-loop-idiom-vectorize-all,CopyProp,-C llvm-args=-disable-loop-idiom-vectorize-all -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-loop-idiom-vectorize-all AND MIR CopyProp
EXP_DBL_0005,Double_Disable,-disable-loop-idiom-vectorize-bytecmp,CopyProp,-C llvm-args=-disable-loop-idiom-vectorize-bytecmp -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-loop-idiom-vectorize-bytecmp AND MIR CopyProp
EXP_DBL_0006,Double_Disable,-disable-promote-alloca-to-vector,CopyProp,-C llvm-args=-disable-promote-alloca-to-vector -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-promote-alloca-to-vector AND MIR CopyProp
EXP_DBL_0007,Double_Disable,-disable-replace-with-vec-lib,CopyProp,-C llvm-args=-disable-replace-with-vec-lib -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-replace-with-vec-lib AND MIR CopyProp
EXP_DBL_0008,Double_Disable,-disable-vector-combine,CopyProp,-C llvm-args=-disable-vector-combine -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-vector-combine AND MIR CopyProp
EXP_DBL_0009,Double_Disable,-disable-advanced-peeling,CopyProp,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-advanced-peeling AND MIR CopyProp
EXP_DBL_0010,Double_Disable,-disable-lftr,CopyProp,-C llvm-args=-disable-lftr -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-lftr AND MIR CopyProp
EXP_DBL_0011,Double_Disable,-disable-licm-promotion,CopyProp,-C llvm-args=-disable-licm-promotion -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-licm-promotion AND MIR CopyProp
EXP_DBL_0012,Double_Disable,-disable-loop-level-heuristics,CopyProp,-C llvm-args=-disable-loop-level-heuristics -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-loop-level-heuristics AND MIR CopyProp
EXP_DBL_0013,Double_Disable,-disable-lsr,CopyProp,-C llvm-args=-disable-lsr -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-lsr AND MIR CopyProp
EXP_DBL_0014,Double_Disable,-disable-machine-licm,CopyProp,-C llvm-args=-disable-machine-licm -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-machine-licm AND MIR CopyProp
EXP_DBL_0015,Double_Disable,-disable-postra-machine-licm,CopyProp,-C llvm-args=-disable-postra-machine-licm -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-postra-machine-licm AND MIR CopyProp
EXP_DBL_0016,Double_Disable,-disable-preheader-prot,CopyProp,-C llvm-args=-disable-preheader-prot -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-preheader-prot AND MIR CopyProp
