Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_ControlFlow_000_BASELINE,Baseline,ControlFlow,None,None,,Default settings
EXP_ControlFlow_SGL_0001,Single_Disable_LLVM,ControlFlow,-disable-block-placement,None,-C llvm-args=-disable-block-placement,Disable LLVM -disable-block-placement
EXP_ControlFlow_SGL_0002,Single_Disable_LLVM,ControlFlow,-disable-branch-fold,None,-C llvm-args=-disable-branch-fold,Disable LLVM -disable-branch-fold
EXP_ControlFlow_SGL_0003,Single_Disable_LLVM,ControlFlow,-disable-cgp-branch-opts,None,-C llvm-args=-disable-cgp-branch-opts,Disable LLVM -disable-cgp-branch-opts
EXP_ControlFlow_SGL_0004,Single_Disable_LLVM,ControlFlow,-disable-cgp-select2branch,None,-C llvm-args=-disable-cgp-select2branch,Disable LLVM -disable-cgp-select2branch
EXP_ControlFlow_SGL_0005,Single_Disable_LLVM,ControlFlow,-disable-chr,None,-C llvm-args=-disable-chr,Disable LLVM -disable-chr
EXP_ControlFlow_SGL_0006,Single_Disable_LLVM,ControlFlow,-disable-early-ifcvt,None,-C llvm-args=-disable-early-ifcvt,Disable LLVM -disable-early-ifcvt
EXP_ControlFlow_SGL_0007,Single_Disable_LLVM,ControlFlow,-disable-early-taildup,None,-C llvm-args=-disable-early-taildup,Disable LLVM -disable-early-taildup
EXP_ControlFlow_SGL_0008,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-diamond,None,-C llvm-args=-disable-ifcvt-diamond,Disable LLVM -disable-ifcvt-diamond
EXP_ControlFlow_SGL_0009,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-forked-diamond,None,-C llvm-args=-disable-ifcvt-forked-diamond,Disable LLVM -disable-ifcvt-forked-diamond
EXP_ControlFlow_SGL_0010,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-simple,None,-C llvm-args=-disable-ifcvt-simple,Disable LLVM -disable-ifcvt-simple
EXP_ControlFlow_SGL_0011,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-simple-false,None,-C llvm-args=-disable-ifcvt-simple-false,Disable LLVM -disable-ifcvt-simple-false
EXP_ControlFlow_SGL_0012,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-triangle,None,-C llvm-args=-disable-ifcvt-triangle,Disable LLVM -disable-ifcvt-triangle
EXP_ControlFlow_SGL_0013,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-triangle-false,None,-C llvm-args=-disable-ifcvt-triangle-false,Disable LLVM -disable-ifcvt-triangle-false
EXP_ControlFlow_SGL_0014,Single_Disable_LLVM,ControlFlow,-disable-ifcvt-triangle-rev,None,-C llvm-args=-disable-ifcvt-triangle-rev,Disable LLVM -disable-ifcvt-triangle-rev
EXP_ControlFlow_SGL_0015,Single_Disable_LLVM,ControlFlow,-disable-tail-calls,None,-C llvm-args=-disable-tail-calls,Disable LLVM -disable-tail-calls
EXP_ControlFlow_SGL_0016,Single_Disable_LLVM,ControlFlow,-disable-tail-duplicate,None,-C llvm-args=-disable-tail-duplicate,Disable LLVM -disable-tail-duplicate
EXP_ControlFlow_DBL_0017,Double_Disable,ControlFlow,-disable-block-placement,CopyProp,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-block-placement AND MIR CopyProp
EXP_ControlFlow_DBL_0018,Double_Disable,ControlFlow,-disable-block-placement,DataflowConstProp,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-block-placement AND MIR DataflowConstProp
EXP_ControlFlow_DBL_0019,Double_Disable,ControlFlow,-disable-block-placement,DeadStoreElimination-final,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-block-placement AND MIR DeadStoreElimination-final
EXP_ControlFlow_DBL_0020,Double_Disable,ControlFlow,-disable-block-placement,DeadStoreElimination-initial,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-block-placement AND MIR DeadStoreElimination-initial
EXP_ControlFlow_DBL_0021,Double_Disable,ControlFlow,-disable-block-placement,DestinationPropagation,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-block-placement AND MIR DestinationPropagation
EXP_ControlFlow_DBL_0022,Double_Disable,ControlFlow,-disable-block-placement,EarlyOtherwiseBranch,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-block-placement AND MIR EarlyOtherwiseBranch
EXP_ControlFlow_DBL_0023,Double_Disable,ControlFlow,-disable-block-placement,EnumSizeOpt,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-block-placement AND MIR EnumSizeOpt
EXP_ControlFlow_DBL_0024,Double_Disable,ControlFlow,-disable-block-placement,ForceInline,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-block-placement AND MIR ForceInline
EXP_ControlFlow_DBL_0025,Double_Disable,ControlFlow,-disable-block-placement,GVN,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-GVN,Disable LLVM -disable-block-placement AND MIR GVN
EXP_ControlFlow_DBL_0026,Double_Disable,ControlFlow,-disable-block-placement,ImpossiblePredicates,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-block-placement AND MIR ImpossiblePredicates
EXP_ControlFlow_DBL_0027,Double_Disable,ControlFlow,-disable-block-placement,Inline,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-Inline,Disable LLVM -disable-block-placement AND MIR Inline
EXP_ControlFlow_DBL_0028,Double_Disable,ControlFlow,-disable-block-placement,InstSimplify-after-simplifycfg,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-block-placement AND MIR InstSimplify-after-simplifycfg
EXP_ControlFlow_DBL_0029,Double_Disable,ControlFlow,-disable-block-placement,InstSimplify-before-inline,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-block-placement AND MIR InstSimplify-before-inline
EXP_ControlFlow_DBL_0030,Double_Disable,ControlFlow,-disable-block-placement,JumpThreading,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-block-placement AND MIR JumpThreading
EXP_ControlFlow_DBL_0031,Double_Disable,ControlFlow,-disable-block-placement,MatchBranchSimplification,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-block-placement AND MIR MatchBranchSimplification
EXP_ControlFlow_DBL_0032,Double_Disable,ControlFlow,-disable-block-placement,ReferencePropagation,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-block-placement AND MIR ReferencePropagation
EXP_ControlFlow_DBL_0033,Double_Disable,ControlFlow,-disable-block-placement,ScalarReplacementOfAggregates,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-block-placement AND MIR ScalarReplacementOfAggregates
EXP_ControlFlow_DBL_0034,Double_Disable,ControlFlow,-disable-block-placement,SingleUseConsts,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-block-placement AND MIR SingleUseConsts
EXP_ControlFlow_DBL_0035,Double_Disable,ControlFlow,-disable-block-placement,UnreachableEnumBranching,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-block-placement AND MIR UnreachableEnumBranching
EXP_ControlFlow_DBL_0036,Double_Disable,ControlFlow,-disable-block-placement,UnreachablePropagation,-C llvm-args=-disable-block-placement -Z mir-enable-passes=-UnreachablePropagation,Disable LLVM -disable-block-placement AND MIR UnreachablePropagation
EXP_ControlFlow_DBL_0037,Double_Disable,ControlFlow,-disable-branch-fold,CopyProp,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-branch-fold AND MIR CopyProp
EXP_ControlFlow_DBL_0038,Double_Disable,ControlFlow,-disable-branch-fold,DataflowConstProp,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-branch-fold AND MIR DataflowConstProp
EXP_ControlFlow_DBL_0039,Double_Disable,ControlFlow,-disable-branch-fold,DeadStoreElimination-final,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-branch-fold AND MIR DeadStoreElimination-final
EXP_ControlFlow_DBL_0040,Double_Disable,ControlFlow,-disable-branch-fold,DeadStoreElimination-initial,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-branch-fold AND MIR DeadStoreElimination-initial
EXP_ControlFlow_DBL_0041,Double_Disable,ControlFlow,-disable-branch-fold,DestinationPropagation,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-branch-fold AND MIR DestinationPropagation
EXP_ControlFlow_DBL_0042,Double_Disable,ControlFlow,-disable-branch-fold,EarlyOtherwiseBranch,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-branch-fold AND MIR EarlyOtherwiseBranch
EXP_ControlFlow_DBL_0043,Double_Disable,ControlFlow,-disable-branch-fold,EnumSizeOpt,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-branch-fold AND MIR EnumSizeOpt
EXP_ControlFlow_DBL_0044,Double_Disable,ControlFlow,-disable-branch-fold,ForceInline,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-branch-fold AND MIR ForceInline
EXP_ControlFlow_DBL_0045,Double_Disable,ControlFlow,-disable-branch-fold,GVN,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-GVN,Disable LLVM -disable-branch-fold AND MIR GVN
EXP_ControlFlow_DBL_0046,Double_Disable,ControlFlow,-disable-branch-fold,ImpossiblePredicates,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-branch-fold AND MIR ImpossiblePredicates
EXP_ControlFlow_DBL_0047,Double_Disable,ControlFlow,-disable-branch-fold,Inline,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-Inline,Disable LLVM -disable-branch-fold AND MIR Inline
EXP_ControlFlow_DBL_0048,Double_Disable,ControlFlow,-disable-branch-fold,InstSimplify-after-simplifycfg,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-branch-fold AND MIR InstSimplify-after-simplifycfg
EXP_ControlFlow_DBL_0049,Double_Disable,ControlFlow,-disable-branch-fold,InstSimplify-before-inline,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-branch-fold AND MIR InstSimplify-before-inline
EXP_ControlFlow_DBL_0050,Double_Disable,ControlFlow,-disable-branch-fold,JumpThreading,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-branch-fold AND MIR JumpThreading
EXP_ControlFlow_DBL_0051,Double_Disable,ControlFlow,-disable-branch-fold,MatchBranchSimplification,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-branch-fold AND MIR MatchBranchSimplification
EXP_ControlFlow_DBL_0052,Double_Disable,ControlFlow,-disable-branch-fold,ReferencePropagation,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-branch-fold AND MIR ReferencePropagation
EXP_ControlFlow_DBL_0053,Double_Disable,ControlFlow,-disable-branch-fold,ScalarReplacementOfAggregates,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-branch-fold AND MIR ScalarReplacementOfAggregates
EXP_ControlFlow_DBL_0054,Double_Disable,ControlFlow,-disable-branch-fold,SingleUseConsts,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-branch-fold AND MIR SingleUseConsts
EXP_ControlFlow_DBL_0055,Double_Disable,ControlFlow,-disable-branch-fold,UnreachableEnumBranching,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-branch-fold AND MIR UnreachableEnumBranching
EXP_ControlFlow_DBL_0056,Double_Disable,ControlFlow,-disable-branch-fold,UnreachablePropagation,-C llvm-args=-disable-branch-fold -Z mir-enable-passes=-UnreachablePropagation,Disable LLVM -disable-branch-fold AND MIR UnreachablePropagation
EXP_ControlFlow_DBL_0057,Double_Disable,ControlFlow,-disable-cgp-branch-opts,CopyProp,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-branch-opts AND MIR CopyProp
EXP_ControlFlow_DBL_0058,Double_Disable,ControlFlow,-disable-cgp-branch-opts,DataflowConstProp,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-branch-opts AND MIR DataflowConstProp
EXP_ControlFlow_DBL_0059,Double_Disable,ControlFlow,-disable-cgp-branch-opts,DeadStoreElimination-final,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-cgp-branch-opts AND MIR DeadStoreElimination-final
EXP_ControlFlow_DBL_0060,Double_Disable,ControlFlow,-disable-cgp-branch-opts,DeadStoreElimination-initial,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-cgp-branch-opts AND MIR DeadStoreElimination-initial
EXP_ControlFlow_DBL_0061,Double_Disable,ControlFlow,-disable-cgp-branch-opts,DestinationPropagation,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-cgp-branch-opts AND MIR DestinationPropagation
EXP_ControlFlow_DBL_0062,Double_Disable,ControlFlow,-disable-cgp-branch-opts,EarlyOtherwiseBranch,-C llvm-args=-disable-cgp-branch-opts -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-cgp-branch-opts AND MIR EarlyOtherwiseBranch
