Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_Loop_000_BASELINE,Baseline,Loop,None,None,,Default settings
EXP_Loop_SGL_0001,Single_Disable_LLVM,Loop,-disable-advanced-peeling,None,-C llvm-args=-disable-advanced-peeling,Disable LLVM -disable-advanced-peeling
EXP_Loop_SGL_0002,Single_Disable_LLVM,Loop,-disable-lftr,None,-C llvm-args=-disable-lftr,Disable LLVM -disable-lftr
EXP_Loop_SGL_0003,Single_Disable_LLVM,Loop,-disable-licm-promotion,None,-C llvm-args=-disable-licm-promotion,Disable LLVM -disable-licm-promotion
EXP_Loop_SGL_0004,Single_Disable_LLVM,Loop,-disable-loop-level-heuristics,None,-C llvm-args=-disable-loop-level-heuristics,Disable LLVM -disable-loop-level-heuristics
EXP_Loop_SGL_0005,Single_Disable_LLVM,Loop,-disable-lsr,None,-C llvm-args=-disable-lsr,Disable LLVM -disable-lsr
EXP_Loop_SGL_0006,Single_Disable_LLVM,Loop,-disable-machine-licm,None,-C llvm-args=-disable-machine-licm,Disable LLVM -disable-machine-licm
EXP_Loop_SGL_0007,Single_Disable_LLVM,Loop,-disable-postra-machine-licm,None,-C llvm-args=-disable-postra-machine-licm,Disable LLVM -disable-postra-machine-licm
EXP_Loop_SGL_0008,Single_Disable_LLVM,Loop,-disable-preheader-prot,None,-C llvm-args=-disable-preheader-prot,Disable LLVM -disable-preheader-prot
EXP_Loop_DBL_0009,Double_Disable,Loop,-disable-advanced-peeling,CopyProp,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-advanced-peeling AND MIR CopyProp
EXP_Loop_DBL_0010,Double_Disable,Loop,-disable-advanced-peeling,DataflowConstProp,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-advanced-peeling AND MIR DataflowConstProp
EXP_Loop_DBL_0011,Double_Disable,Loop,-disable-advanced-peeling,DeadStoreElimination-final,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-advanced-peeling AND MIR DeadStoreElimination-final
EXP_Loop_DBL_0012,Double_Disable,Loop,-disable-advanced-peeling,DeadStoreElimination-initial,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-advanced-peeling AND MIR DeadStoreElimination-initial
EXP_Loop_DBL_0013,Double_Disable,Loop,-disable-advanced-peeling,DestinationPropagation,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-advanced-peeling AND MIR DestinationPropagation
EXP_Loop_DBL_0014,Double_Disable,Loop,-disable-advanced-peeling,EarlyOtherwiseBranch,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-advanced-peeling AND MIR EarlyOtherwiseBranch
EXP_Loop_DBL_0015,Double_Disable,Loop,-disable-advanced-peeling,EnumSizeOpt,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-advanced-peeling AND MIR EnumSizeOpt
EXP_Loop_DBL_0016,Double_Disable,Loop,-disable-advanced-peeling,ForceInline,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-advanced-peeling AND MIR ForceInline
EXP_Loop_DBL_0017,Double_Disable,Loop,-disable-advanced-peeling,GVN,-C llvm-args=-disable-advanced-peeling -Z mir-enable-passes=-GVN,Disable LLVM -disable-advanced-peeling AND MIR GVN
