Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_Memory_000_BASELINE,Baseline,Memory,None,None,,Default settings
EXP_Memory_SGL_0001,Single_Disable_LLVM,Memory,-disable-cgp-ext-ld-promotion,None,-C llvm-args=-disable-cgp-ext-ld-promotion,Disable LLVM -disable-cgp-ext-ld-promotion
EXP_Memory_SGL_0002,Single_Disable_LLVM,Memory,-disable-cgp-store-extract,None,-C llvm-args=-disable-cgp-store-extract,Disable LLVM -disable-cgp-store-extract
EXP_Memory_SGL_0003,Single_Disable_LLVM,Memory,-disable-memop-opt,None,-C llvm-args=-disable-memop-opt,Disable LLVM -disable-memop-opt
EXP_Memory_SGL_0004,Single_Disable_LLVM,Memory,-disable-separate-const-offset-from-gep,None,-C llvm-args=-disable-separate-const-offset-from-gep,Disable LLVM -disable-separate-const-offset-from-gep
EXP_Memory_DBL_0005,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,CopyProp,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR CopyProp
EXP_Memory_DBL_0006,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,DataflowConstProp,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR DataflowConstProp
EXP_Memory_DBL_0007,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,DeadStoreElimination-final,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR DeadStoreElimination-final
EXP_Memory_DBL_0008,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,DeadStoreElimination-initial,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR DeadStoreElimination-initial
EXP_Memory_DBL_0009,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,DestinationPropagation,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR DestinationPropagation
EXP_Memory_DBL_0010,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,EarlyOtherwiseBranch,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR EarlyOtherwiseBranch
EXP_Memory_DBL_0011,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,EnumSizeOpt,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR EnumSizeOpt
EXP_Memory_DBL_0012,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,ForceInline,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR ForceInline
EXP_Memory_DBL_0013,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,GVN,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-GVN,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR GVN
EXP_Memory_DBL_0014,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,ImpossiblePredicates,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR ImpossiblePredicates
EXP_Memory_DBL_0015,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,Inline,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-Inline,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR Inline
EXP_Memory_DBL_0016,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,InstSimplify-after-simplifycfg,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR InstSimplify-after-simplifycfg
EXP_Memory_DBL_0017,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,InstSimplify-before-inline,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR InstSimplify-before-inline
EXP_Memory_DBL_0018,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,JumpThreading,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR JumpThreading
EXP_Memory_DBL_0019,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,MatchBranchSimplification,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR MatchBranchSimplification
EXP_Memory_DBL_0020,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,ReferencePropagation,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR ReferencePropagation
EXP_Memory_DBL_0021,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,ScalarReplacementOfAggregates,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR ScalarReplacementOfAggregates
EXP_Memory_DBL_0022,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,SingleUseConsts,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR SingleUseConsts
EXP_Memory_DBL_0023,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,UnreachableEnumBranching,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR UnreachableEnumBranching
EXP_Memory_DBL_0024,Double_Disable,Memory,-disable-cgp-ext-ld-promotion,UnreachablePropagation,-C llvm-args=-disable-cgp-ext-ld-promotion -Z mir-enable-passes=-UnreachablePropagation,Disable LLVM -disable-cgp-ext-ld-promotion AND MIR UnreachablePropagation
EXP_Memory_DBL_0025,Double_Disable,Memory,-disable-cgp-store-extract,CopyProp,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-cgp-store-extract AND MIR CopyProp
EXP_Memory_DBL_0026,Double_Disable,Memory,-disable-cgp-store-extract,DataflowConstProp,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-cgp-store-extract AND MIR DataflowConstProp
EXP_Memory_DBL_0027,Double_Disable,Memory,-disable-cgp-store-extract,DeadStoreElimination-final,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-cgp-store-extract AND MIR DeadStoreElimination-final
EXP_Memory_DBL_0028,Double_Disable,Memory,-disable-cgp-store-extract,DeadStoreElimination-initial,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-cgp-store-extract AND MIR DeadStoreElimination-initial
EXP_Memory_DBL_0029,Double_Disable,Memory,-disable-cgp-store-extract,DestinationPropagation,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-cgp-store-extract AND MIR DestinationPropagation
EXP_Memory_DBL_0030,Double_Disable,Memory,-disable-cgp-store-extract,EarlyOtherwiseBranch,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-cgp-store-extract AND MIR EarlyOtherwiseBranch
EXP_Memory_DBL_0031,Double_Disable,Memory,-disable-cgp-store-extract,EnumSizeOpt,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-cgp-store-extract AND MIR EnumSizeOpt
EXP_Memory_DBL_0032,Double_Disable,Memory,-disable-cgp-store-extract,ForceInline,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-cgp-store-extract AND MIR ForceInline
EXP_Memory_DBL_0033,Double_Disable,Memory,-disable-cgp-store-extract,GVN,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-GVN,Disable LLVM -disable-cgp-store-extract AND MIR GVN
EXP_Memory_DBL_0034,Double_Disable,Memory,-disable-cgp-store-extract,ImpossiblePredicates,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-cgp-store-extract AND MIR ImpossiblePredicates
EXP_Memory_DBL_0035,Double_Disable,Memory,-disable-cgp-store-extract,Inline,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-Inline,Disable LLVM -disable-cgp-store-extract AND MIR Inline
EXP_Memory_DBL_0036,Double_Disable,Memory,-disable-cgp-store-extract,InstSimplify-after-simplifycfg,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-cgp-store-extract AND MIR InstSimplify-after-simplifycfg
EXP_Memory_DBL_0037,Double_Disable,Memory,-disable-cgp-store-extract,InstSimplify-before-inline,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-cgp-store-extract AND MIR InstSimplify-before-inline
EXP_Memory_DBL_0038,Double_Disable,Memory,-disable-cgp-store-extract,JumpThreading,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-cgp-store-extract AND MIR JumpThreading
EXP_Memory_DBL_0039,Double_Disable,Memory,-disable-cgp-store-extract,MatchBranchSimplification,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-cgp-store-extract AND MIR MatchBranchSimplification
EXP_Memory_DBL_0040,Double_Disable,Memory,-disable-cgp-store-extract,ReferencePropagation,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-cgp-store-extract AND MIR ReferencePropagation
EXP_Memory_DBL_0041,Double_Disable,Memory,-disable-cgp-store-extract,ScalarReplacementOfAggregates,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-cgp-store-extract AND MIR ScalarReplacementOfAggregates
EXP_Memory_DBL_0042,Double_Disable,Memory,-disable-cgp-store-extract,SingleUseConsts,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-cgp-store-extract AND MIR SingleUseConsts
EXP_Memory_DBL_0043,Double_Disable,Memory,-disable-cgp-store-extract,UnreachableEnumBranching,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-cgp-store-extract AND MIR UnreachableEnumBranching
EXP_Memory_DBL_0044,Double_Disable,Memory,-disable-cgp-store-extract,UnreachablePropagation,-C llvm-args=-disable-cgp-store-extract -Z mir-enable-passes=-UnreachablePropagation,Disable LLVM -disable-cgp-store-extract AND MIR UnreachablePropagation
EXP_Memory_DBL_0045,Double_Disable,Memory,-disable-memop-opt,CopyProp,-C llvm-args=-disable-memop-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-memop-opt AND MIR CopyProp
EXP_Memory_DBL_0046,Double_Disable,Memory,-disable-memop-opt,DataflowConstProp,-C llvm-args=-disable-memop-opt -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-memop-opt AND MIR DataflowConstProp
EXP_Memory_DBL_0047,Double_Disable,Memory,-disable-memop-opt,DeadStoreElimination-final,-C llvm-args=-disable-memop-opt -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-memop-opt AND MIR DeadStoreElimination-final
