Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_Pipeline_Profile_LTO_000_BASELINE,Baseline,Pipeline/Profile/LTO,None,None,,Default settings
EXP_Pipeline_Profile_LTO_SGL_0001,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,None,-C llvm-args=-disable-auto-upgrade-debug-info,Disable LLVM -disable-auto-upgrade-debug-info
EXP_Pipeline_Profile_LTO_SGL_0002,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,None,-C llvm-args=-disable-bitcode-version-upgrade,Disable LLVM -disable-bitcode-version-upgrade
EXP_Pipeline_Profile_LTO_SGL_0003,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-cfi-fixup,None,-C llvm-args=-disable-cfi-fixup,Disable LLVM -disable-cfi-fixup
EXP_Pipeline_Profile_LTO_SGL_0004,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-cgdata-for-merging,None,-C llvm-args=-disable-cgdata-for-merging,Disable LLVM -disable-cgdata-for-merging
EXP_Pipeline_Profile_LTO_SGL_0005,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-global-outlining,None,-C llvm-args=-disable-global-outlining,Disable LLVM -disable-global-outlining
EXP_Pipeline_Profile_LTO_SGL_0006,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-last-run-tracking,None,-C llvm-args=-disable-last-run-tracking,Disable LLVM -disable-last-run-tracking
EXP_Pipeline_Profile_LTO_SGL_0007,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-layout-fsprofile-loader,None,-C llvm-args=-disable-layout-fsprofile-loader,Disable LLVM -disable-layout-fsprofile-loader
EXP_Pipeline_Profile_LTO_SGL_0008,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-nofree-inference,None,-C llvm-args=-disable-nofree-inference,Disable LLVM -disable-nofree-inference
EXP_Pipeline_Profile_LTO_SGL_0009,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-nounwind-inference,None,-C llvm-args=-disable-nounwind-inference,Disable LLVM -disable-nounwind-inference
EXP_Pipeline_Profile_LTO_SGL_0010,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-ondemand-mds-loading,None,-C llvm-args=-disable-ondemand-mds-loading,Disable LLVM -disable-ondemand-mds-loading
EXP_Pipeline_Profile_LTO_SGL_0011,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-ra-fsprofile-loader,None,-C llvm-args=-disable-ra-fsprofile-loader,Disable LLVM -disable-ra-fsprofile-loader
EXP_Pipeline_Profile_LTO_SGL_0012,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-sample-loader-inlining,None,-C llvm-args=-disable-sample-loader-inlining,Disable LLVM -disable-sample-loader-inlining
EXP_Pipeline_Profile_LTO_SGL_0013,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-thinlto-funcattrs,None,-C llvm-args=-disable-thinlto-funcattrs,Disable LLVM -disable-thinlto-funcattrs
EXP_Pipeline_Profile_LTO_SGL_0014,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-vp,None,-C llvm-args=-disable-vp,Disable LLVM -disable-vp
EXP_Pipeline_Profile_LTO_SGL_0015,Single_Disable_LLVM,Pipeline/Profile/LTO,-disable-whole-program-visibility,None,-C llvm-args=-disable-whole-program-visibility,Disable LLVM -disable-whole-program-visibility
EXP_Pipeline_Profile_LTO_DBL_0016,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,CopyProp,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-auto-upgrade-debug-info AND MIR CopyProp
EXP_Pipeline_Profile_LTO_DBL_0017,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,DataflowConstProp,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-auto-upgrade-debug-info AND MIR DataflowConstProp
EXP_Pipeline_Profile_LTO_DBL_0018,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,DeadStoreElimination-final,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-auto-upgrade-debug-info AND MIR DeadStoreElimination-final
EXP_Pipeline_Profile_LTO_DBL_0019,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,DeadStoreElimination-initial,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-auto-upgrade-debug-info AND MIR DeadStoreElimination-initial
EXP_Pipeline_Profile_LTO_DBL_0020,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,DestinationPropagation,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-auto-upgrade-debug-info AND MIR DestinationPropagation
EXP_Pipeline_Profile_LTO_DBL_0021,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,EarlyOtherwiseBranch,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-auto-upgrade-debug-info AND MIR EarlyOtherwiseBranch
EXP_Pipeline_Profile_LTO_DBL_0022,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,EnumSizeOpt,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-auto-upgrade-debug-info AND MIR EnumSizeOpt
EXP_Pipeline_Profile_LTO_DBL_0023,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,ForceInline,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-auto-upgrade-debug-info AND MIR ForceInline
EXP_Pipeline_Profile_LTO_DBL_0024,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,GVN,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-GVN,Disable LLVM -disable-auto-upgrade-debug-info AND MIR GVN
EXP_Pipeline_Profile_LTO_DBL_0025,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,ImpossiblePredicates,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-auto-upgrade-debug-info AND MIR ImpossiblePredicates
EXP_Pipeline_Profile_LTO_DBL_0026,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,Inline,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-Inline,Disable LLVM -disable-auto-upgrade-debug-info AND MIR Inline
EXP_Pipeline_Profile_LTO_DBL_0027,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,InstSimplify-after-simplifycfg,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-auto-upgrade-debug-info AND MIR InstSimplify-after-simplifycfg
EXP_Pipeline_Profile_LTO_DBL_0028,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,InstSimplify-before-inline,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-auto-upgrade-debug-info AND MIR InstSimplify-before-inline
EXP_Pipeline_Profile_LTO_DBL_0029,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,JumpThreading,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-auto-upgrade-debug-info AND MIR JumpThreading
EXP_Pipeline_Profile_LTO_DBL_0030,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,MatchBranchSimplification,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-auto-upgrade-debug-info AND MIR MatchBranchSimplification
EXP_Pipeline_Profile_LTO_DBL_0031,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,ReferencePropagation,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-auto-upgrade-debug-info AND MIR ReferencePropagation
EXP_Pipeline_Profile_LTO_DBL_0032,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,ScalarReplacementOfAggregates,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-auto-upgrade-debug-info AND MIR ScalarReplacementOfAggregates
EXP_Pipeline_Profile_LTO_DBL_0033,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,SingleUseConsts,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-auto-upgrade-debug-info AND MIR SingleUseConsts
EXP_Pipeline_Profile_LTO_DBL_0034,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,UnreachableEnumBranching,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-auto-upgrade-debug-info AND MIR UnreachableEnumBranching
EXP_Pipeline_Profile_LTO_DBL_0035,Double_Disable,Pipeline/Profile/LTO,-disable-auto-upgrade-debug-info,UnreachablePropagation,-C llvm-args=-disable-auto-upgrade-debug-info -Z mir-enable-passes=-UnreachablePropagation,Disable LLVM -disable-auto-upgrade-debug-info AND MIR UnreachablePropagation
EXP_Pipeline_Profile_LTO_DBL_0036,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,CopyProp,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-bitcode-version-upgrade AND MIR CopyProp
EXP_Pipeline_Profile_LTO_DBL_0037,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,DataflowConstProp,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-bitcode-version-upgrade AND MIR DataflowConstProp
EXP_Pipeline_Profile_LTO_DBL_0038,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,DeadStoreElimination-final,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-bitcode-version-upgrade AND MIR DeadStoreElimination-final
EXP_Pipeline_Profile_LTO_DBL_0039,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,DeadStoreElimination-initial,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-bitcode-version-upgrade AND MIR DeadStoreElimination-initial
EXP_Pipeline_Profile_LTO_DBL_0040,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,DestinationPropagation,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-bitcode-version-upgrade AND MIR DestinationPropagation
EXP_Pipeline_Profile_LTO_DBL_0041,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,EarlyOtherwiseBranch,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-bitcode-version-upgrade AND MIR EarlyOtherwiseBranch
EXP_Pipeline_Profile_LTO_DBL_0042,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,EnumSizeOpt,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-bitcode-version-upgrade AND MIR EnumSizeOpt
EXP_Pipeline_Profile_LTO_DBL_0043,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,ForceInline,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-bitcode-version-upgrade AND MIR ForceInline
EXP_Pipeline_Profile_LTO_DBL_0044,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,GVN,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-GVN,Disable LLVM -disable-bitcode-version-upgrade AND MIR GVN
EXP_Pipeline_Profile_LTO_DBL_0045,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,ImpossiblePredicates,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-bitcode-version-upgrade AND MIR ImpossiblePredicates
EXP_Pipeline_Profile_LTO_DBL_0046,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,Inline,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-Inline,Disable LLVM -disable-bitcode-version-upgrade AND MIR Inline
EXP_Pipeline_Profile_LTO_DBL_0047,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,InstSimplify-after-simplifycfg,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-bitcode-version-upgrade AND MIR InstSimplify-after-simplifycfg
EXP_Pipeline_Profile_LTO_DBL_0048,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,InstSimplify-before-inline,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-bitcode-version-upgrade AND MIR InstSimplify-before-inline
EXP_Pipeline_Profile_LTO_DBL_0049,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,JumpThreading,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-bitcode-version-upgrade AND MIR JumpThreading
EXP_Pipeline_Profile_LTO_DBL_0050,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,MatchBranchSimplification,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-MatchBranchSimplification,Disable LLVM -disable-bitcode-version-upgrade AND MIR MatchBranchSimplification
EXP_Pipeline_Profile_LTO_DBL_0051,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,ReferencePropagation,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-ReferencePropagation,Disable LLVM -disable-bitcode-version-upgrade AND MIR ReferencePropagation
EXP_Pipeline_Profile_LTO_DBL_0052,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,ScalarReplacementOfAggregates,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-ScalarReplacementOfAggregates,Disable LLVM -disable-bitcode-version-upgrade AND MIR ScalarReplacementOfAggregates
EXP_Pipeline_Profile_LTO_DBL_0053,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,SingleUseConsts,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-SingleUseConsts,Disable LLVM -disable-bitcode-version-upgrade AND MIR SingleUseConsts
EXP_Pipeline_Profile_LTO_DBL_0054,Double_Disable,Pipeline/Profile/LTO,-disable-bitcode-version-upgrade,UnreachableEnumBranching,-C llvm-args=-disable-bitcode-version-upgrade -Z mir-enable-passes=-UnreachableEnumBranching,Disable LLVM -disable-bitcode-version-upgrade AND MIR UnreachableEnumBranching
