mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
Inline,loop-level-heuristics,10.04334952014532,10.093789535841712,10.284332223610962,9.862372494793478,0.0469044970887324,1.0480219151561316,4.802191515613163,0.5022230441668718,2.3994256396461022,-1.8019588483785376,0.0036135399289789,0.0926938726240491,0.0409795102448775,10,10,10,10,0.0469044970887324,180,moderate,0.0579437708743583,False,True,independent
Inline,vector-combine,10.04334952014532,10.093789535841712,10.37696679267028,9.986424456993886,0.0433716632555074,1.0443259603175308,4.432596031753078,0.5022230441668718,3.32177299869707,-0.5667936084197023,0.0009794043490647,0.0911648493187511,0.0469765117441279,10,10,10,10,0.0433716632555074,244,moderate,0.065585373839573,False,True,independent
Inline,ifcvt-triangle-false,10.04334952014532,10.093789535841712,10.092222391833293,9.725724815525222,0.0420003102062684,1.042894802263218,4.289480226321807,0.5022230441668718,0.4866192457998464,-3.1625375974717818,0.0003799555779793,0.0832283674162336,0.048975512243878,10,10,10,10,0.0420003102062684,275,moderate,0.068146982669604,False,True,independent
Inline,ifcvt-triangle-rev,10.04334952014532,10.093789535841712,10.051511531565586,9.712617430800057,0.0393068791476869,1.0400896164950737,4.00896164950737,0.5022230441668718,0.0812678220935669,-3.2930456983685352,-0.004864602443603,0.0819820155074397,0.0869565217391304,10,10,10,10,0.0393068791476869,333,moderate,0.1138389795638458,False,True,independent
Inline,memop-opt,10.04334952014532,10.093789535841712,10.035077634793728,9.699855692334976,0.0389853714093932,1.0397552733846802,3.975527338468021,0.5022230441668718,-0.0823618189828012,-3.4201122555911456,-0.0042120374960467,0.080815039140962,0.0839580209895052,10,10,10,10,0.0389853714093932,343,moderate,0.1106992175080053,False,True,independent
Inline,lsr,10.04334952014532,10.093789535841712,10.288870626563844,9.948758144540523,0.038624716679978,1.0393803483412083,3.938034834120852,0.5022230441668718,2.4446137807516037,-0.9418309640131683,-0.0036585211085925,0.082233481858517,0.0849575212393803,10,10,10,10,0.038624716679978,353,moderate,0.1114857590967362,False,True,independent
Inline,layout-fsprofile-loader,10.04334952014532,10.093789535841712,10.03172773476505,9.714210668427882,0.0371726741725439,1.0378722190928948,3.787221909289484,0.5022230441668718,-0.1157162295005065,-3.277182090071029,-0.0035185243080465,0.0774806175037864,0.0869565217391304,10,10,10,10,0.0371726741725439,399,moderate,0.1138389795638458,False,True,independent
Inline,block-placement,10.04334952014532,10.093789535841712,10.284193406140878,9.9593195429868,0.0371090065594539,1.0378061423495093,3.7806142349509297,0.5022230441668718,2.3980434566422737,-0.8366728349936459,-0.0039868204086095,0.0776480729778932,0.0979510244877561,10,10,10,10,0.0371090065594539,403,moderate,0.1261432898756208,False,True,independent
MatchBranchSimplification,last-run-tracking,10.04334952014532,10.317065395172078,10.134520270973294,10.036032560063894,0.0366542545751293,1.037334305239494,3.7334305239494094,2.7253445125824616,0.9077723586647934,-0.0728537831601761,0.0010797049092661,0.0758557095177532,0.0419790104947526,10,10,10,10,0.0366542545751293,412,moderate,0.0592560862425929,False,True,independent
MatchBranchSimplification,complex-addr-modes,10.04334952014532,10.317065395172078,10.159246551261177,10.062189799609484,0.036488148670791,1.037162012196463,3.716201219646309,2.7253445125824616,1.1539679156180591,0.1875896027154322,0.0002183226401328,0.0744071755088698,0.048975512243878,10,10,10,10,0.036488148670791,417,moderate,0.068146982669604,False,True,independent
Inline,tail-calls,10.04334952014532,10.093789535841712,10.047414387441018,9.737872098317917,0.0363023642438511,1.036969341544541,3.69693415445409,0.5022230441668718,0.0404732234753346,-3.041589075583462,-0.0045770459242207,0.0747189473672939,0.079960019990005,10,10,10,10,0.0363023642438511,424,moderate,0.1061869065467266,False,True,independent
Inline,vp,10.04334952014532,10.093789535841712,10.056985590639488,9.763880465732331,0.0345872276912659,1.0351923218742638,3.51923218742638,0.5022230441668718,0.1357721392331923,-2.7826279853391256,-0.006073302530479,0.0743805185977171,0.1019490254872563,10,10,10,10,0.0345872276912659,463,moderate,0.1306836929025834,False,True,independent
InstSimplify-after-simplifycfg,cgp,10.04334952014532,10.389941487906452,10.250325918581977,10.250986642656434,0.033863040589142,1.034442920332762,3.444292033276186,3.450959931902453,2.0608303835438324,2.06740910584291,-0.0046225019320392,0.0742233404210835,0.0949525237381309,10,10,10,10,0.033863040589142,484,moderate,0.1229494457139604,False,True,independent
Inline,loop-idiom-vectorize-all,10.04334952014532,10.093789535841712,10.272330121200126,9.98174257388092,0.0337058638246405,1.0342803427185288,3.428034271852876,0.5022230441668718,2.2799226552407514,-0.6134103581760808,-0.0150364427035842,0.086572623368425,0.1809095452273863,10,10,10,10,0.0337058638246405,490,moderate,0.2122331060618101,False,True,independent
UnreachablePropagation,loop-idiom-vectorize-all,10.04334952014532,10.214351265676154,10.272330121200126,10.102369245790037,0.0335669513422116,1.0341366782472197,3.4136678247219665,1.7026366073174204,2.2799226552407514,0.5876498226645488,0.0006827245104172,0.0632568374106926,0.0469765117441279,10,10,10,10,0.0335669513422116,494,moderate,0.065585373839573,False,True,independent
EnumSizeOpt,complex-addr-modes,10.04334952014532,10.31486015246812,10.159246551261177,10.091279690187893,0.0333875397410539,1.03395115877263,3.395115877263,2.70338726913959,1.1539679156180591,0.4772329186237156,0.0020045857803842,0.0660397463278951,0.0409795102448775,10,10,10,10,0.0333875397410539,501,moderate,0.0579437708743583,False,True,independent
MatchBranchSimplification,sample-loader-inlining,10.04334952014532,10.317065395172078,10.026575812224593,9.96345700692752,0.0332037311799617,1.0337611271631495,3.376112716314972,2.7253445125824616,-0.1670130854958484,-0.795476778514459,-0.0009278110231528,0.0724121789523258,0.0589705147426286,10,10,10,10,0.0332037311799617,508,moderate,0.0801072458860586,False,True,independent
