Source,Target,Type,Weight,Stability
Inline,expand-reductions,Interaction,0.098795844341903,1.0
Inline,lftr,Interaction,0.0976475315496236,1.0
Inline,cgp-select2branch,Interaction,0.0939379790560512,1.0
Inline,chr,Interaction,0.09334353128355,1.0
Inline,branch-fold,Interaction,0.0932246764528055,1.0
Inline,licm-promotion,Interaction,0.092792836334917,1.0
Inline,postra-machine-licm,Interaction,0.0917594862729163,1.0
Inline,promote-alloca-to-vector,Interaction,0.0895498165477084,1.0
Inline,advanced-peeling,Interaction,0.0886981825288955,1.0
Inline,interleaved-load-combine,Interaction,0.0882028531238772,1.0
Inline,binop-extract-shuffle,Interaction,0.0878263679909592,1.0
Inline,replace-with-vec-lib,Interaction,0.0825160190465004,1.0
Inline,early-taildup,Interaction,0.0752139764618049,1.0
Inline,ifcvt-triangle-rev,Interaction,0.0748031057088072,1.0
Inline,machine-sink,Interaction,0.0732901730470518,1.0
Inline,whole-program-visibility,Interaction,0.0717639960654796,1.0
Inline,complex-addr-modes,Interaction,0.0714826364711194,1.0
CopyProp,lftr,Interaction,0.0713380334636011,1.0
Inline,postra-machine-sink,Interaction,0.0712158321039413,1.0
Inline,cfi-fixup,Interaction,0.07011054475374,1.0
Inline,cgp-ext-ld-promotion,Interaction,0.0685815600647505,1.0
Inline,global-outlining,Interaction,0.0682652823240026,1.0
Inline,non-allocatable-phys-copy-opt,Interaction,0.0682006708600422,1.0
Inline,memop-opt,Interaction,0.0673958945505588,1.0
CopyProp,cgp-select2branch,Interaction,0.0667325698118155,1.0
Inline,spill-fusing,Interaction,0.0662632607357824,1.0
Inline,nofree-inference,Interaction,0.0657724799102239,1.0
CopyProp,promote-alloca-to-vector,Interaction,0.0656880963360126,1.0
Inline,cgp-store-extract,Interaction,0.0655624408335597,1.0
Inline,ifcvt-triangle-false,Interaction,0.0654951838159907,1.0
CopyProp,lsr,Interaction,0.0652243001043211,1.0
CopyProp,expand-reductions,Interaction,0.0651443472224726,1.0
Inline,cgp-gc-opts,Interaction,0.0651253771498217,1.0
Inline,cgp,Interaction,0.0648989591297759,1.0
CopyProp,postra-machine-licm,Interaction,0.0632975889626852,1.0
Inline,separate-const-offset-from-gep,Interaction,0.0632567607108649,1.0
CopyProp,block-placement,Interaction,0.0632407706011384,1.0
CopyProp,chr,Interaction,0.0625299148310114,1.0
CopyProp,binop-extract-shuffle,Interaction,0.0625244384567418,1.0
CopyProp,interleaved-load-combine,Interaction,0.0623728739455788,1.0
CopyProp,machine-licm,Interaction,0.0621831546386553,1.0
CopyProp,branch-fold,Interaction,0.0617356961948836,1.0
CopyProp,loop-level-heuristics,Interaction,0.0613551390400037,1.0
Inline,layout-fsprofile-loader,Interaction,0.0613300017955769,1.0
Inline,mergeicmps,Interaction,0.0612815141923035,1.0
CopyProp,loop-idiom-vectorize-all,Interaction,0.061158307320706,1.0
Inline,tail-calls,Interaction,0.0609402127700451,1.0
CopyProp,vector-combine,Interaction,0.060728084622331,1.0
Inline,cgdata-for-merging,Interaction,0.060530041269601,1.0
Inline,dfa-sched,Interaction,0.0602253646287342,1.0
CopyProp,advanced-peeling,Interaction,0.0601597591321945,1.0
CopyProp,licm-promotion,Interaction,0.0589928162986423,1.0
CopyProp,loop-idiom-vectorize-bytecmp,Interaction,0.0586697534771114,1.0
CopyProp,preheader-prot,Interaction,0.0585409198860866,1.0
Inline,vp,Interaction,0.0577292759906451,1.0
DeadStoreElimination-final,promote-alloca-to-vector,Interaction,0.0575559621312993,1.0
ForceInline,cgp-select2branch,Interaction,0.0573898595273689,1.0
DeadStoreElimination-initial,lftr,Interaction,0.0573141001857409,1.0
DeadStoreElimination-initial,expand-reductions,Interaction,0.0572555979994939,1.0
DeadStoreElimination-final,cgp-select2branch,Interaction,0.0571259609622663,1.0
Inline,ondemand-mds-loading,Interaction,0.0570891831691278,1.0
EnumSizeOpt,cgp-select2branch,Interaction,0.0566076600623457,1.0
DeadStoreElimination-initial,lsr,Interaction,0.0565955008603684,1.0
EarlyOtherwiseBranch,cgp-select2branch,Interaction,0.0565229028156104,1.0
DeadStoreElimination-final,chr,Interaction,0.0563409775925825,1.0
Inline,partial-inlining,Interaction,0.0560555554175099,1.0
ForceInline,chr,Interaction,0.0560151478373298,1.0
Inline,strictnode-mutation,Interaction,0.0559498233699589,1.0
DeadStoreElimination-final,loop-idiom-vectorize-bytecmp,Interaction,0.055742626402758,1.0
GVN,cgp-select2branch,Interaction,0.0555981125926172,1.0
DeadStoreElimination-final,block-placement,Interaction,0.0555645018084551,1.0
DeadStoreElimination-final,expand-reductions,Interaction,0.0555634709384156,1.0
DeadStoreElimination-initial,binop-extract-shuffle,Interaction,0.0554985602363813,1.0
DeadStoreElimination-initial,cgp-select2branch,Interaction,0.0554116555653645,1.0
DeadStoreElimination-initial,interleaved-load-combine,Interaction,0.0552112392726908,1.0
DeadStoreElimination-initial,block-placement,Interaction,0.0550478509371816,1.0
ForceInline,machine-licm,Interaction,0.0547609864238936,1.0
DeadStoreElimination-final,lftr,Interaction,0.0546408654363612,1.0
EnumSizeOpt,lftr,Interaction,0.0544153477523408,1.0
