ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_000_ALL_OFF,None,None,3,10.008186,34.219583,3067904.0,0.0,0.0,0.0
EXP_ABL_001_CopyProp,CopyProp,None,3,9.605005,32.290094,3073536.0,-4.028512259864075,-5.638552053658856,0.18357810413885178
EXP_ABL_002_DataflowConstProp,DataflowConstProp,None,3,9.468333,32.535019,3082240.0,-5.394114377970202,-4.922806920236292,0.46728971962616817
EXP_ABL_003_DeadStoreElimination-final,DeadStoreElimination-final,None,3,9.603095,31.31492,3087872.0,-4.047596637392636,-8.488306242656432,0.6508678237650201
EXP_ABL_004_DeadStoreElimination-initial,DeadStoreElimination-initial,None,3,9.42604,31.305337,3080192.0,-5.816698450648297,-8.51631067508917,0.4005340453938585
EXP_ABL_005_DestinationPropagation,DestinationPropagation,None,3,9.350745,30.836719,3090944.0,-6.569032589921894,-9.88575459847071,0.7510013351134847
EXP_ABL_006_EarlyOtherwiseBranch,EarlyOtherwiseBranch,None,3,9.493279,31.220148,3082240.0,-5.144858418898298,-8.765258770102493,0.46728971962616817
EXP_ABL_007_EnumSizeOpt,EnumSizeOpt,None,3,9.535909,31.246916,3082240.0,-4.718907102645774,-8.68703455562273,0.46728971962616817
EXP_ABL_008_ForceInline,ForceInline,None,3,9.501905,31.563436,3082240.0,-5.058668973578224,-7.762067118117718,0.46728971962616817
EXP_ABL_009_GVN,GVN,None,3,9.573628,31.688242,3079168.0,-4.342025617829254,-7.397346133645173,0.36715620827770357
EXP_ABL_010_ImpossiblePredicates,ImpossiblePredicates,None,3,9.613177,32.402319,3082240.0,-3.946859101139806,-5.310596566883944,0.46728971962616817
EXP_ABL_011_Inline,Inline,None,3,10.009324,32.517681,3061760.0,0.011370691951560404,-4.973473814686745,-0.20026702269692925
EXP_ABL_012_InstSimplify-after-simplifycfg,InstSimplify-after-simplifycfg,None,3,9.727035,31.51821,3084800.0,-2.8092103803826136,-7.894231206733291,0.5507343124165555
EXP_ABL_013_InstSimplify-before-inline,InstSimplify-before-inline,None,3,9.583195,32.182723,3082240.0,-4.2464338692346475,-5.952322680261759,0.46728971962616817
EXP_ABL_014_JumpThreading,JumpThreading,None,3,9.562951,32.433434,3088896.0,-4.44870828739594,-5.219669100000434,0.6842456608811749
EXP_ABL_015_MatchBranchSimplification,MatchBranchSimplification,None,3,9.575004,31.988886,3083264.0,-4.328276872552133,-6.518773183179934,0.5006675567423231
EXP_ABL_016_ReferencePropagation,ReferencePropagation,None,3,9.505372,31.788743,3079168.0,-5.024027331226665,-7.103651730647916,0.36715620827770357
EXP_ABL_017_ScalarReplacementOfAggregates,ScalarReplacementOfAggregates,None,3,9.387035,31.841789,3077120.0,-6.206429416879353,-6.948635230300735,0.30040053404539385
EXP_ABL_018_SingleUseConsts,SingleUseConsts,None,3,9.564118,31.977106,3082752.0,-4.437047832644194,-6.553197915941878,0.48397863818424564
EXP_ABL_019_UnreachableEnumBranching,UnreachableEnumBranching,None,3,9.537789,32.373255,3080704.0,-4.700122479738088,-5.395530389718658,0.41722296395193587
EXP_ABL_020_UnreachablePropagation,UnreachablePropagation,None,3,9.731169,32.871967,3082240.0,-2.7679041936271043,-3.938142671113211,0.46728971962616817
EXP_000_DEFAULT,None,None,3,9.569313,32.234787,3082240.0,-4.385140324130676,-5.80017588174585,0.46728971962616817
EXP_ABL_001_disable-binop-extract-shuffle,None,binop-extract-shuffle,3,9.4964,32.558684,3082240.0,-5.113673946507396,-4.853650612866909,0.46728971962616817
EXP_ABL_002_disable-expand-reductions,None,expand-reductions,3,9.408876,32.167216,3082240.0,-5.988198061067219,-5.997638837387342,0.46728971962616817
