ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_DBL_0734,GVN,whole-program-visibility,3,9.194464,25.509939,3079168.0,-8.130564320047611,-25.452221320172143,0.36715620827770357
EXP_DBL_1357,ScalarReplacementOfAggregates,ifcvt-triangle-false,3,9.202291,25.971046,3077120.0,-8.05235833946331,-24.10472681680545,0.30040053404539385
EXP_DBL_0688,GVN,ifcvt-diamond,3,9.216646,25.317867,3079168.0,-7.908925753378279,-26.013513957782596,0.36715620827770357
EXP_DBL_0716,GVN,preinline,3,9.243349,25.044138,3079168.0,-7.64211416534425,-26.813433115184367,0.36715620827770357
EXP_DBL_1387,ScalarReplacementOfAggregates,cgdata-for-merging,3,9.246646,25.962265,3077120.0,-7.609171132510928,-24.130387561999225,0.30040053404539385
EXP_DBL_1425,SingleUseConsts,machine-licm,3,9.251122,26.04514,3055616.0,-7.564447743077514,-23.888201676800094,-0.4005340453938585
EXP_DBL_1396,ScalarReplacementOfAggregates,thinlto-funcattrs,3,9.257768,25.944872,3077120.0,-7.498042102734699,-24.181215183130664,0.30040053404539385
EXP_DBL_1277,ReferencePropagation,tail-duplicate,3,9.265119,25.905899,3078656.0,-7.424592228801502,-24.29510610927082,0.35046728971962615
EXP_DBL_1507,UnreachableEnumBranching,lsr,3,9.302087,25.439936,3074560.0,-7.055214601327354,-25.656791317416115,0.21695594125500667
EXP_DBL_0704,GVN,constant-hoisting,3,9.320975,25.375908,3078656.0,-6.86648909202926,-25.843900552499434,0.35046728971962615
EXP_DBL_0718,GVN,ssc,3,9.35537,25.03702,3087360.0,-6.522820419204835,-26.834234070006058,0.6341789052069425
EXP_DBL_1511,UnreachableEnumBranching,block-placement,3,9.361374,25.83781,3021312.0,-6.462829527748591,-24.494082818016803,-1.5186915887850467
EXP_DBL_0017,CopyProp,block-placement,3,9.367472,38.823314,3014656.0,-6.401899405146956,13.453498249817958,-1.7356475300400533
EXP_DBL_1262,ReferencePropagation,block-placement,3,9.399293,25.820006,3019264.0,-6.083949678792941,-24.546111505800642,-1.5854472630173564
EXP_DBL_1428,SingleUseConsts,block-placement,3,9.410762,25.420917,3022848.0,-5.969353487235351,-25.71237060369789,-1.4686248331108143
EXP_DBL_0674,GVN,lftr,3,9.455906,25.00248,3075072.0,-5.518282733754145,-26.93517042565949,0.23364485981308408
EXP_DBL_0709,GVN,machine-cse,3,9.471172,24.894447,3076096.0,-5.365747599015456,-27.250875617040688,0.26702269692923897
EXP_DBL_0847,Inline,block-placement,3,9.515273,38.800569,3001344.0,-4.925098314519731,13.387030461475824,-2.1695594125500666
EXP_DBL_0706,GVN,demotion,3,9.549751,25.420353,3066368.0,-4.580600320577572,-25.71401878275373,-0.05006675567423231
EXP_DBL_1345,ScalarReplacementOfAggregates,block-placement,3,11.736376,25.806976,3017728.0,17.267764607891976,-24.58418911767569,-1.6355140186915886
