Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_0861,10,9.747179,9.498939,0.710866,993.299000,967.690000,90.610000,0.093635,,,,62.273347,62.273347,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_1143,10,10.052599,10.021248,0.106628,904.685000,875.370000,74.907500,0.085572,,,,59.070527,59.070527,0.000000,0.000000,4067904.000000,4067904
tokio,EXP_DBL_0989,10,10.098125,10.122359,0.138598,925.782000,905.325000,74.137500,0.081890,,,,58.293134,58.293134,0.000000,0.000000,4046320.000000,4046320
tokio,EXP_DBL_1085,10,10.069249,10.043677,0.096820,898.941000,870.925000,66.097500,0.075893,,,,59.403867,59.403867,0.000000,0.000000,4047664.000000,4047664
tokio,EXP_DBL_0741,10,10.081517,10.023905,0.173088,901.267000,881.645000,66.120000,0.074996,,,,58.489563,58.489563,0.000000,0.000000,4042272.000000,4042272
tokio,EXP_DBL_0803,10,9.974323,10.021746,0.044584,908.666000,886.560000,64.465000,0.072714,,,,58.989445,58.989445,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_1141,10,10.060325,10.013515,0.115937,900.008000,875.910000,62.645000,0.071520,,,,58.909208,58.909208,0.000000,0.000000,4047664.000000,4047664
tokio,EXP_DBL_0319,10,10.128356,10.109692,0.126304,915.101000,888.795000,62.645000,0.070483,,,,59.409329,59.409329,0.000000,0.000000,4056696.000000,4056696
tokio,EXP_DBL_0859,10,9.734775,9.502203,0.721975,978.498000,955.780000,62.595000,0.065491,,,,61.830553,61.830553,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0901,10,9.955848,9.946524,0.991109,977.557000,955.205000,61.485000,0.064368,,,,61.751760,61.751760,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0886,10,9.862591,9.559812,0.924273,993.191000,986.865000,58.937500,0.059722,,,,61.451203,61.451203,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_1211,10,10.076419,10.047919,0.114616,899.241000,886.090000,50.650000,0.057161,,,,58.826402,58.826402,0.000000,0.000000,4037448.000000,4037448
tokio,EXP_DBL_1252,10,10.055854,10.034515,0.079180,895.682000,880.500000,48.795000,0.055417,,,,59.897544,59.897544,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_0257,10,10.083566,10.053793,0.097161,912.626000,883.680000,47.432500,0.053676,,,,58.275270,58.275270,0.000000,0.000000,4056696.000000,4056696
tokio,EXP_DBL_0464,10,9.971025,10.064986,0.082643,904.192000,894.060000,47.320000,0.052927,,,,58.673658,58.673658,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_0889,10,9.829110,9.523686,0.926602,977.864000,955.185000,49.365000,0.051681,,,,61.503291,61.503291,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0651,10,10.147293,10.044431,0.102616,896.837000,880.170000,45.325000,0.051496,,,,59.540660,59.540660,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0398,10,10.032463,10.117427,0.085895,905.741000,895.625000,43.987500,0.049114,,,,59.923180,59.923180,0.000000,0.000000,4047896.000000,4047896
tokio,EXP_DBL_0911,10,10.014792,10.000556,0.940935,975.139000,957.065000,44.410000,0.046402,,,,63.992297,63.992297,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_0749,10,10.038093,10.005011,0.099368,890.768000,875.920000,40.342500,0.046057,,,,58.598293,58.598293,0.000000,0.000000,4041432.000000,4041432
tokio,EXP_DBL_0731,10,10.069716,10.050605,0.079130,902.192000,880.695000,40.332500,0.045796,,,,58.321657,58.321657,0.000000,0.000000,4042272.000000,4042272
tokio,EXP_DBL_0782,10,10.032477,10.018739,0.048614,898.370000,883.405000,40.210000,0.045517,,,,58.958745,58.958745,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0550,10,10.068186,10.032058,0.082463,896.650000,884.065000,39.472500,0.044649,,,,59.320025,59.320025,0.000000,0.000000,4041368.000000,4041368
