ConfigName,Case,RunCount,LLVM_Pass,MIR_Pass,BinarySize_Bytes,NsPerIter,MBps,TotalRuntime_s,CompileTime_s,runtime_delta_pct,compile_delta_pct,size_delta_pct,ns_per_iter_delta_pct,mbps_delta_pct,BinarySize_delta,TotalRuntime_delta,CompileTime_delta
EXP_DBL_0478,mir_dependent_case,3,nofree-inference,EarlyOtherwiseBranch,1060592.0,44311.96,23664.0,5.88926,2.138055,987.819691086885,67.7869176656716,0.04376829967702722,-92.30288902476306,1199.505766062603,464.0,5.347878,0.8637870000000001
EXP_DBL_1627,mir_dependent_case,3,phi-elim-edge-splitting,UnreachablePropagation,1060464.0,20000.05,52428.0,5.848313,1.228299,980.2562700643907,-3.607482884291213,0.031694285973005165,-96.52593556321392,2779.0774299835257,336.0,5.3069310000000005,-0.04596899999999993
EXP_DBL_1631,mir_dependent_case,3,ssc,UnreachablePropagation,1060592.0,20144.87,52054.0,5.847503,1.246101,980.1066529733163,-2.210445526372795,0.04376829967702722,-96.50077992551624,2758.539264140582,464.0,5.306120999999999,-0.028167000000000053
EXP_DBL_1094,mir_dependent_case,3,postra-machine-licm,JumpThreading,1060688.0,20026.43,52360.0,5.845267,1.17569,979.693635916968,-7.7360492455276315,0.05282380995501601,-96.52135328367748,2775.3432180120813,560.0,5.303884999999999,-0.09857800000000005
EXP_DBL_1423,mir_dependent_case,3,loop-level-heuristics,SingleUseConsts,1060592.0,20037.15,52331.0,5.838169,1.099776,978.3825468892574,-13.69350874384352,0.04376829967702722,-96.51949118979462,2773.7506864360244,464.0,5.296787,-0.17449199999999987
EXP_DBL_1108,mir_dependent_case,3,ifcvt-triangle-false,JumpThreading,1060688.0,20022.25,52371.0,5.837941,1.188905,978.340432448807,-6.69898325940853,0.05282380995501601,-96.52207936132959,2775.947281713344,560.0,5.296559,-0.08536299999999986
EXP_DBL_1598,mir_dependent_case,3,chr,UnreachablePropagation,1060592.0,20028.59,52355.0,5.835427,1.169396,977.8760653291022,-8.229979878644045,0.04376829967702722,-96.52097808565631,2775.0686436024166,464.0,5.294045000000001,-0.10487199999999985
EXP_DBL_1629,mir_dependent_case,3,preinline,UnreachablePropagation,1060592.0,21377.41,49051.0,5.834417,1.165321,977.6895057464046,-8.54977131969098,0.04376829967702722,-96.2866842917095,2593.6298736957715,464.0,5.293035,-0.1089469999999999
EXP_DBL_1342,mir_dependent_case,3,machine-licm,ScalarReplacementOfAggregates,1060448.0,20020.89,52376.0,5.827624,1.075436,976.4347540184195,-15.603624983127562,0.030185034260021837,-96.5223155971207,2776.2218561230093,320.0,5.286242,-0.1988319999999999
EXP_DBL_1589,mir_dependent_case,3,loop-level-heuristics,UnreachablePropagation,1060592.0,19605.38,53485.0,5.820695,1.14266,975.1548813961305,-10.328125637620966,0.04376829967702722,-96.59449084238904,2837.1224601867107,464.0,5.279313,-0.13160799999999995
EXP_DBL_1489,mir_dependent_case,3,partial-inlining,SingleUseConsts,1060592.0,20144.79,52054.0,5.819344,1.238609,974.9053348652152,-2.798390919335636,0.04376829967702722,-96.50079382173925,2758.539264140582,464.0,5.2779620000000005,-0.035658999999999885
EXP_DBL_1584,mir_dependent_case,3,replace-with-vec-lib,UnreachablePropagation,1060592.0,20179.19,51963.0,5.817091,1.184289,974.489177697079,-7.061230447598154,0.04376829967702722,-96.49481844584642,2753.542009884679,464.0,5.275708999999999,-0.08997900000000003
EXP_DBL_1485,mir_dependent_case,3,complex-addr-modes,SingleUseConsts,1060592.0,20175.31,51974.0,5.814208,1.212,973.9566516803292,-4.8865701720517185,0.04376829967702722,-96.49549241266224,2754.146073585942,464.0,5.272826,-0.06226799999999999
EXP_DBL_1205,mir_dependent_case,3,gep-const-evaluation,MatchBranchSimplification,1060592.0,20145.54,52051.0,5.811709,1.217978,973.4950552474961,-4.417438089946534,0.04376829967702722,-96.50066354464857,2758.3745194947833,464.0,5.270327,-0.05628999999999995
EXP_DBL_1112,mir_dependent_case,3,cgp-ext-ld-promotion,JumpThreading,1060688.0,20189.57,51937.0,5.809147,1.227696,973.0218219298018,-3.6548041699234424,0.05282380995501601,-96.49301541091131,2752.1142229544207,560.0,5.267765000000001,-0.04657200000000006
EXP_DBL_1623,mir_dependent_case,3,machine-dce,UnreachablePropagation,1060592.0,20040.95,52324.0,5.805638,1.150927,972.3736659142712,-9.679361013538745,0.04376829967702722,-96.51883111920179,2773.3662822624933,464.0,5.264256,-0.12334099999999992
EXP_DBL_1263,mir_dependent_case,3,branch-fold,ReferencePropagation,1060640.0,19928.43,52618.0,5.804955,1.150775,972.2475073053776,-9.691289430480865,0.048296054816021616,-96.53837615686056,2789.511257550796,512.0,5.263572999999999,-0.12349299999999985
EXP_DBL_1575,mir_dependent_case,3,post-ra,UnreachableEnumBranching,1060592.0,19925.91,52626.0,5.804939,1.194695,972.2445519060478,-6.2446047456265035,0.04376829967702722,-96.53881388788528,2789.9505766062603,464.0,5.2635570000000005,-0.0795729999999999
EXP_DBL_1645,mir_dependent_case,3,thinlto-funcattrs,UnreachablePropagation,1060592.0,20107.49,52149.0,5.804229,1.245059,972.1134060607852,-2.2922179635681106,0.04376829967702722,-96.50727293571607,2763.756177924218,464.0,5.262847000000001,-0.02920900000000004
EXP_DBL_1175,mir_dependent_case,3,lsr,MatchBranchSimplification,1060512.0,20064.33,52261.0,5.801949,1.227946,971.6922616562796,-3.6351850631107463,0.03622204111202176,-96.51476994802812,2769.9066447007135,384.0,5.260567,-0.046321999999999974
