ConfigName,Case,RunCount,LLVM_Pass,MIR_Pass,BinarySize_Bytes,NsPerIter,MBps,TotalRuntime_s,CompileTime_s,runtime_delta_pct,compile_delta_pct,size_delta_pct,ns_per_iter_delta_pct,mbps_delta_pct,BinarySize_delta,TotalRuntime_delta,CompileTime_delta
EXP_DBL_0134,easy_case,3,postra-machine-sink,DataflowConstProp,1060592.0,45040.15,23280.0,6.119969,1.822448,901.0565125435306,43.01920789033391,0.04376829967702722,-93.48422425130674,1435.6200527704486,464.0,5.508618,0.5481800000000001
EXP_ABL_010_disable-lftr,easy_case,3,lftr,N/A,1060592.0,80803.46,12976.0,6.014119,2.264764,883.7424000287888,77.73058728619098,0.04376829967702722,-88.3104913043472,755.9366754617415,464.0,5.402768,0.990496
EXP_DBL_0039,easy_case,3,cleanups,CopyProp,1060592.0,80530.62,13020.0,6.001492,2.150346,881.6769744385795,68.75147143301095,0.04376829967702722,-88.34996196009043,758.8390501319262,464.0,5.390141,0.8760779999999999
EXP_DBL_0814,easy_case,3,sample-loader-inlining,ImpossiblePredicates,1060592.0,73662.44,14234.0,5.917454,2.211889,867.930697749738,73.58114619530586,0.04376829967702722,-89.34355369283688,838.9182058047494,464.0,5.306103,0.9376210000000003
EXP_DBL_0447,easy_case,3,tail-duplicate,EarlyOtherwiseBranch,1060592.0,77555.68,13520.0,5.873032,2.201759,860.664495518941,72.78617998725542,0.04376829967702722,-88.78033445897904,791.820580474934,464.0,5.261681,0.9274910000000001
EXP_DBL_0778,easy_case,3,tail-calls,ImpossiblePredicates,1060592.0,34463.67,30426.0,5.830152,1.181116,853.6505215498134,-7.310236151264871,0.04376829967702722,-95.01428069851082,1906.9920844327175,464.0,5.218801,-0.0931519999999999
EXP_DBL_0109,easy_case,3,ifcvt-simple,DataflowConstProp,1060592.0,80799.37,12977.0,5.813611,2.153561,850.9448745483364,69.00377314662221,0.04376829967702722,-88.3110829880519,756.0026385224274,464.0,5.20226,0.8792929999999999
EXP_DBL_0349,easy_case,3,block-placement,DestinationPropagation,1060128.0,36861.06,28446.0,5.809462,1.271624,850.2662136808478,-0.20749167365106125,0.0,-94.66746001469517,1776.3852242744065,0.0,5.198111,-0.0026439999999998687
EXP_DBL_0570,easy_case,3,cgp,EnumSizeOpt,1060816.0,74660.88,14044.0,5.761449,2.110004,842.4126238445672,65.5855754048599,0.06489782365903807,-89.19911342923818,826.3852242744063,688.0,5.150098,0.835736
EXP_DBL_1519,easy_case,3,ifcvt-forked-diamond,UnreachableEnumBranching,1060592.0,27158.17,38610.0,5.705989,1.153605,833.3409121764747,-9.469201141361161,0.04376829967702722,-96.07113774121781,2446.833773087071,464.0,5.094638,-0.12066299999999996
EXP_DBL_1510,easy_case,3,preheader-prot,UnreachableEnumBranching,1060544.0,27750.89,37786.0,5.698002,1.157268,832.0344613814323,-9.18174198834154,0.039240544538010624,-95.9853913437976,2392.480211081794,416.0,5.086651,-0.11699999999999999
EXP_DBL_0335,easy_case,3,interleaved-load-combine,DestinationPropagation,1060592.0,31640.42,33140.0,5.696191,1.253102,831.7382322103015,-1.6610320591900596,0.04376829967702722,-95.42270882058631,2086.0158311345645,464.0,5.08484,-0.021166000000000018
EXP_DBL_1565,easy_case,3,2addr-hack,UnreachableEnumBranching,1060592.0,27711.97,37839.0,5.688953,1.238171,830.5542969587028,-2.832763594471499,0.04376829967702722,-95.99102174227849,2395.976253298153,464.0,5.077602,-0.036097000000000046
EXP_DBL_1643,easy_case,3,ra-fsprofile-loader,UnreachablePropagation,1060592.0,27367.43,38315.0,5.688753,1.178225,830.5215825278768,-7.53711150244688,0.04376829967702722,-96.04086494609675,2427.3746701846967,464.0,5.077402,-0.09604299999999988
EXP_DBL_1619,easy_case,3,demotion,UnreachablePropagation,1060592.0,27316.7,38386.0,5.687952,1.233114,830.3905612324181,-3.229618887078689,0.04376829967702722,-96.04820384935819,2432.0580474934036,464.0,5.076601,-0.04115399999999991
EXP_DBL_1576,easy_case,3,spill-fusing,UnreachableEnumBranching,1060784.0,27612.69,37975.0,5.680591,1.182294,829.1865066058614,-7.217790919963463,0.061879320233027,-96.0053841770468,2404.947229551451,656.0,5.06924,-0.091974
EXP_DBL_1625,easy_case,3,mergeicmps,UnreachablePropagation,1060592.0,27418.65,38244.0,5.678879,1.2149,828.9064710779896,-4.658988533024444,0.04376829967702722,-96.03345515652349,2422.6912928759893,464.0,5.067528,-0.059367999999999865
EXP_DBL_1564,easy_case,3,whole-program-visibility,UnreachableEnumBranching,1060592.0,27561.59,38045.0,5.66819,1.124042,827.1580483224858,-11.78919976017604,0.04376829967702722,-96.01277660670698,2409.5646437994724,464.0,5.056839,-0.15022599999999997
EXP_DBL_1600,easy_case,3,early-taildup,UnreachablePropagation,1060592.0,27404.58,38263.0,5.652943,1.185209,824.6640636884539,-6.989032134527429,0.04376829967702722,-96.03549060633402,2423.9445910290237,464.0,5.041592,-0.089059
EXP_DBL_1492,easy_case,3,post-ra,SingleUseConsts,1060592.0,27481.25,38156.0,5.648664,4.258911,823.9641384409284,234.224119259057,0.04376829967702722,-96.02439906852493,2416.88654353562,464.0,5.037313,2.984643
