mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,ssc,9.857311896794851,3.705422576529257,3.730275772785551,4.173166345432156,-1.0906090948400364,0.336011768330196,-66.3988231669804,-62.409401109301484,-62.15727155799476,-57.66425584251748,-1.4008464241848348,-0.7760907756664409,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0906090948400364,1,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,constant-hoisting,9.857311896794851,3.705422576529257,3.7315721721144812,4.101267263162004,-1.0728825721692463,0.34202119431129396,-65.79788056887061,-62.409401109301484,-62.14411990628177,-58.39365431365169,-1.3876966393955719,-0.7674662441903825,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0728825721692463,2,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,nounwind-inference,9.857311896794851,3.705422576529257,3.903915557102436,4.178359532478983,-1.0463548710419535,0.3512156449666019,-64.8784355033398,-62.409401109301484,-60.39573873713165,-57.6115722397138,-1.3847335941303485,-0.7437637782672583,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0463548710419535,3,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,cgp,9.857311896794851,3.705422576529257,3.9314284372827286,4.1579612167655995,-1.0344382284842188,0.3554259930503627,-64.45740069496372,-62.409401109301484,-60.11662734785688,-57.81850812575405,-1.3431247905358015,-0.7628843480985623,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0344382284842188,4,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,machine-licm,9.857311896794851,3.705422576529257,3.7526618498585615,3.915775646225887,-1.0209642130146448,0.36024741740865907,-63.975258259134094,-62.409401109301484,-61.930170322816345,-60.27542105572292,-1.329575862905454,-0.7150804349761019,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0209642130146448,5,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,phi-elim-edge-splitting,9.857311896794851,3.705422576529257,3.951334586423447,4.101847274313656,-1.0158002314807009,0.3621125400044088,-63.788745999559126,-62.409401109301484,-59.91468437040892,-58.387770243453595,-1.3570015603439638,-0.7045154602102708,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",1.0158002314807009,6,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,block-placement,9.857311896794851,3.705422576529257,3.946820732758159,3.99642339352836,-0.9909056288252472,0.37124033279071017,-62.875966720928986,-62.409401109301484,-59.960476303468845,-59.45726953381869,-1.2973780390909715,-0.6861230668941817,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9909056288252472,7,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,peephole,9.857311896794851,3.705422576529257,3.9645957982947895,3.986678354010595,-0.9839706803477866,0.37382381316898194,-62.6176186831018,-62.409401109301484,-59.78015264400942,-59.55613055820136,-1.2980713999652613,-0.6777204253639663,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9839706803477866,8,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,machine-sink,9.857311896794851,3.705422576529257,4.174956956309434,4.180881396309713,-0.9798342326437799,0.3753733183368535,-62.46266816631465,-62.409401109301484,-57.64609053643783,-57.58598855262817,-1.3227735095306112,-0.6738777662599666,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9798342326437799,9,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,branch-fold,9.857311896794851,3.705422576529257,4.178495568805559,4.181052241482531,-0.9790278736431212,0.37567612606016065,-62.43238739398394,-62.409401109301484,-57.610192184704886,-57.58425537045226,-1.2877866028794795,-0.6729692076078688,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9790278736431212,10,extreme,0.0009995002498750624,True,False,negative_interaction
Inline,ssc,9.857311896794851,56.074980722004774,3.730275772785551,55.85065445372686,-0.9677228465908592,0.3799472519362581,-62.00527480637419,468.8668605508749,-62.15727155799476,466.5911258411834,-1.2799501215293267,-0.659084894773603,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9677228465908592,11,extreme,0.0009995002498750624,True,False,negative_interaction
Inline,constant-hoisting,9.857311896794851,56.074980722004774,3.7315721721144812,55.807598380989546,-0.9666041608308282,0.38037253134922216,-61.96274686507779,468.8668605508749,-62.14411990628177,466.1543325938142,-1.3086897313759465,-0.6587538437016318,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9666041608308282,12,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,expand-reductions,9.857311896794851,3.705422576529257,4.180150906298343,4.091010355434544,-0.9568608187035268,0.3840967447381594,-61.59032552618407,-62.409401109301484,-57.59339919377475,-58.49770811487913,-1.2668036464394163,-0.6487137159813315,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9568608187035268,13,extreme,0.0009995002498750624,True,False,negative_interaction
JumpThreading,lsr,9.857311896794851,3.705422576529257,4.175478225749905,4.085241716054867,-0.9565681977029539,0.3842091559580612,-61.579084404193885,-62.409401109301484,-57.640802386423616,-58.55622953978761,-1.265933768413493,-0.649202413187882,0.0009995002498750624,60,20,20,20,2,"easy_case,mir_dependent_case",0.9565681977029539,14,extreme,0.0009995002498750624,True,False,negative_interaction
