ConfigName,Group,Case,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,Matrix,easy_case,1,None,All,452448,520180.93,2016,9.474055,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,2,None,All,452448,526746.79,1991,9.593639,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,3,None,All,452448,524335.18,2000,9.549717,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,4,None,All,452448,520247.30,2016,9.475264,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,5,None,All,452448,521617.19,2010,9.500214,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,6,None,All,452448,533304.88,1966,9.713082,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,7,None,All,452448,523741.52,2002,9.538904,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,8,None,All,452448,521160.05,2012,9.491888,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,9,None,All,452448,524991.71,1997,9.561674,0.405815,Success
EXP_000_ALL_OFF,Matrix,easy_case,10,None,All,452448,527863.16,1986,9.613972,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,1,None,All,452448,428294.86,2448,10.030666,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,2,None,All,452448,416171.48,2520,9.746736,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,3,None,All,452448,418387.48,2506,9.798635,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,4,None,All,452448,420930.40,2491,9.858190,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,5,None,All,452448,413966.30,2533,9.695091,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,6,None,All,452448,417210.23,2513,9.771064,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,7,None,All,452448,430165.34,2438,10.074472,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,8,None,All,452448,416320.37,2519,9.750223,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,9,None,All,452448,416689.54,2516,9.758869,0.405815,Success
EXP_000_ALL_OFF,Matrix,mir_dependent_case,10,None,All,452448,422801.71,2480,9.902016,0.405815,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,1,None,CopyProp,452104,42318.13,24778,0.770740,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,2,None,CopyProp,452104,39914.92,26270,0.726970,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,3,None,CopyProp,452104,40253.38,26049,0.733135,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,4,None,CopyProp,452104,39100.38,26818,0.712135,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,5,None,CopyProp,452104,38976.74,26903,0.709883,0.371277,Success
EXP_ABL_001_CopyProp,Matrix,easy_case,6,None,CopyProp,452104,40916.58,25627,0.745214,0.371277,Success
